Date,DaysToExpiry,ExpiryDate,PnL
2024-07-02,3.0,2024-07-05 00:00:00,7678.35
2024-07-09,3.0,2024-07-12 00:00:00,559.3900000000003
2024-07-15,3.0,2024-07-19 00:00:00,8336.504999999997
2024-07-23,3.0,2024-07-26 00:00:00,7134.23
2024-07-30,3.0,2024-08-02 00:00:00,7546.244999999999
2024-08-06,3.0,2024-08-09 00:00:00,3413.7099999999964
2024-08-12,3.0,2024-08-16 00:00:00,5546.054999999996
2024-08-20,3.0,2024-08-23 00:00:00,-4148.684999999999
2024-08-27,3.0,2024-08-30 00:00:00,4010.520000000001
2024-09-03,3.0,2024-09-06 00:00:00,-2811.07
2024-09-10,3.0,2024-09-13 00:00:00,-2764.9399999999996
2024-09-17,3.0,2024-09-20 00:00:00,-7522.574999999997
2024-09-24,3.0,2024-09-27 00:00:00,2334.6949999999997
2024-09-30,3.0,2024-10-04 00:00:00,-26634.059999999998
2024-10-08,3.0,2024-10-11 00:00:00,17069.175000000003
2024-10-15,3.0,2024-10-18 00:00:00,1033.1800000000012
2024-10-22,3.0,2024-10-25 00:00:00,-13696.780000000002
2024-10-28,3.0,2024-10-31 00:00:00,-6110.324999999998
2024-11-05,3.0,2024-11-08 00:00:00,5011.345000000001
2024-11-11,3.0,2024-11-14 00:00:00,-12926.405
2024-11-18,3.0,2024-11-22 00:00:00,-7783.624999999996
2024-11-26,3.0,2024-11-29 00:00:00,-1209.5100000000002
2024-12-03,3.0,2024-12-06 00:00:00,2588.6749999999975
2024-12-10,3.0,2024-12-13 00:00:00,1570.0600000000013
2024-12-17,3.0,2024-12-20 00:00:00,-14484.054999999997
2024-12-23,3.0,2024-12-27 00:00:00,12868.710000000003
2025-01-02,3.0,2025-01-03 00:00:00,3892.920000000001
2025-01-09,3.0,2025-01-14 00:00:00,-1001.5549999999985
2025-01-16,3.0,2025-01-21 00:00:00,-2630.9100000000008
2025-01-23,3.0,2025-01-28 00:00:00,8010.450000000001
2025-01-30,3.0,2025-02-04 00:00:00,30736.35
2025-02-06,3.0,2025-02-11 00:00:00,-19228.490000000005
2025-02-13,3.0,2025-02-18 00:00:00,11014.724999999999
2025-02-20,3.0,2025-02-25 00:00:00,9275.19
2025-02-27,3.0,2025-03-04 00:00:00,-9462.955000000002
2025-03-06,3.0,2025-03-11 00:00:00,1874.795000000002
2025-03-12,3.0,2025-03-18 00:00:00,3188.385000000001
2025-03-20,3.0,2025-03-25 00:00:00,-13008.855
2025-03-26,3.0,2025-04-01 00:00:00,-12024.09
2025-04-03,3.0,2025-04-08 00:00:00,-25343.245000000003
2025-04-16,3.0,2025-04-22 00:00:00,-17130.515
2025-04-24,3.0,2025-04-29 00:00:00,858.1150000000016
2025-05-08,3.0,2025-05-13 00:00:00,-4826.9400000000005
2025-05-15,3.0,2025-05-20 00:00:00,2229.66
2025-05-22,3.0,2025-05-27 00:00:00,1419.8300000000017
2025-05-29,3.0,2025-06-03 00:00:00,11161.919999999998
2025-06-05,3.0,2025-06-10 00:00:00,2108.904999999998
2025-06-12,3.0,2025-06-17 00:00:00,1739.949999999997
2025-06-19,3.0,2025-06-24 00:00:00,2447.4850000000006
2025-06-26,3.0,2025-07-01 00:00:00,3977.2299999999996
2025-07-03,3.0,2025-07-08 00:00:00,7049.55
2025-07-10,3.0,2025-07-15 00:00:00,735.3799999999974
2025-07-17,3.0,2025-07-22 00:00:00,711.5650000000005
2025-07-24,3.0,2025-07-29 00:00:00,-8597.139999999996
2025-07-31,3.0,2025-08-05 00:00:00,2250.9750000000013
2025-08-07,3.0,2025-08-12 00:00:00,1437.550000000001
2025-08-13,3.0,2025-08-19 00:00:00,-6429.715
2025-08-21,3.0,2025-08-26 00:00:00,-2164.29
