Date,DaysToExpiry,ExpiryDate,PnL
2024-07-02,3.0,2024-07-05 00:00:00,6444.079999999998
2024-07-09,3.0,2024-07-12 00:00:00,2995.4000000000024
2024-07-15,3.0,2024-07-19 00:00:00,5852.619999999999
2024-07-23,3.0,2024-07-26 00:00:00,16226.040000000006
2024-07-30,3.0,2024-08-02 00:00:00,6726.400000000002
2024-08-06,3.0,2024-08-09 00:00:00,8189.839999999996
2024-08-12,3.0,2024-08-16 00:00:00,5470.159999999996
2024-08-20,3.0,2024-08-23 00:00:00,6408.82
2024-08-27,3.0,2024-08-30 00:00:00,3067.2599999999998
2024-09-03,3.0,2024-09-06 00:00:00,3581.5
2024-09-10,3.0,2024-09-13 00:00:00,-3743.580000000002
2024-09-17,3.0,2024-09-20 00:00:00,-8325.610000000002
2024-09-24,3.0,2024-09-27 00:00:00,5047.4400000000005
2024-09-30,3.0,2024-10-04 00:00:00,-17863.850000000006
2024-10-08,3.0,2024-10-11 00:00:00,12162.579999999998
2024-10-15,3.0,2024-10-18 00:00:00,-3502.8499999999985
2024-10-22,3.0,2024-10-25 00:00:00,-17608.660000000003
2024-10-28,3.0,2024-10-31 00:00:00,5291.139999999999
2024-11-05,3.0,2024-11-08 00:00:00,-3446.0600000000013
2024-11-11,3.0,2024-11-14 00:00:00,4965.359999999998
2024-11-18,3.0,2024-11-22 00:00:00,7166.780000000001
2024-11-26,3.0,2024-11-29 00:00:00,6524.16
2024-12-03,3.0,2024-12-06 00:00:00,-3895.649999999996
2024-12-10,3.0,2024-12-13 00:00:00,7398.599999999999
2024-12-17,3.0,2024-12-20 00:00:00,-33639.91
2024-12-23,3.0,2024-12-27 00:00:00,9752.7
2025-01-02,3.0,2025-01-03 00:00:00,-812.4200000000019
2025-01-09,3.0,2025-01-14 00:00:00,-8354.549999999997
2025-01-16,3.0,2025-01-21 00:00:00,-5920.900000000001
2025-01-23,3.0,2025-01-28 00:00:00,5834.879999999999
2025-01-30,3.0,2025-02-04 00:00:00,23160.600000000002
2025-02-06,3.0,2025-02-11 00:00:00,-29369.279999999995
2025-02-13,3.0,2025-02-18 00:00:00,8456.12
2025-02-20,3.0,2025-02-25 00:00:00,6631.18
2025-02-27,3.0,2025-03-04 00:00:00,-10983.719999999994
2025-03-06,3.0,2025-03-11 00:00:00,5920.139999999999
2025-03-12,3.0,2025-03-18 00:00:00,6611.5
2025-03-20,3.0,2025-03-25 00:00:00,-11087.919999999998
2025-03-26,3.0,2025-04-01 00:00:00,-22304.89
2025-04-03,3.0,2025-04-08 00:00:00,19230.380000000016
2025-04-16,3.0,2025-04-22 00:00:00,-11802.730000000001
2025-04-24,3.0,2025-04-29 00:00:00,-9325.789999999999
2025-05-08,3.0,2025-05-13 00:00:00,-13337.449999999999
2025-05-15,3.0,2025-05-20 00:00:00,-4797.520000000002
2025-05-22,3.0,2025-05-27 00:00:00,-6822.759999999989
2025-05-29,3.0,2025-06-03 00:00:00,8447.84
2025-06-05,3.0,2025-06-10 00:00:00,6176.540000000001
2025-06-12,3.0,2025-06-17 00:00:00,-1949.840000000002
2025-06-19,3.0,2025-06-24 00:00:00,-6224.24
2025-06-26,3.0,2025-07-01 00:00:00,7373.199999999997
2025-07-03,3.0,2025-07-08 00:00:00,4760.340000000001
2025-07-10,3.0,2025-07-15 00:00:00,-2963.170000000003
2025-07-17,3.0,2025-07-22 00:00:00,-3000.789999999999
2025-07-24,3.0,2025-07-29 00:00:00,-11420.510000000002
2025-07-31,3.0,2025-08-05 00:00:00,-2843.67
2025-08-07,3.0,2025-08-12 00:00:00,4297.739999999999
2025-08-13,3.0,2025-08-19 00:00:00,-7085.060000000003
2025-08-21,3.0,2025-08-26 00:00:00,3823.2
