Date,DaysToExpiry,ExpiryDate,PnL
2024-07-02,3.0,2024-07-05 00:00:00,8599.5
2024-07-09,3.0,2024-07-12 00:00:00,5130.27
2024-07-15,3.0,2024-07-19 00:00:00,5692.364999999998
2024-07-23,3.0,2024-07-26 00:00:00,22415.070000000003
2024-07-30,3.0,2024-08-02 00:00:00,8280.105
2024-08-06,3.0,2024-08-09 00:00:00,5117.519999999995
2024-08-12,3.0,2024-08-16 00:00:00,6275.1299999999965
2024-08-20,3.0,2024-08-23 00:00:00,3347.160000000002
2024-08-27,3.0,2024-08-30 00:00:00,4804.305
2024-09-03,3.0,2024-09-06 00:00:00,-5322.279999999999
2024-09-10,3.0,2024-09-13 00:00:00,-547.2749999999996
2024-09-17,3.0,2024-09-20 00:00:00,-8528.6
2024-09-24,3.0,2024-09-27 00:00:00,241.6150000000016
2024-09-30,3.0,2024-10-04 00:00:00,-19918.75000000001
2024-10-08,3.0,2024-10-11 00:00:00,19220.805
2024-10-15,3.0,2024-10-18 00:00:00,59.9900000000016
2024-10-22,3.0,2024-10-25 00:00:00,-14416.574999999999
2024-10-28,3.0,2024-10-31 00:00:00,136.34499999999935
2024-11-05,3.0,2024-11-08 00:00:00,689.3649999999998
2024-11-11,3.0,2024-11-14 00:00:00,-16340.210000000006
2024-11-18,3.0,2024-11-22 00:00:00,9363.855000000003
2024-11-26,3.0,2024-11-29 00:00:00,-4968.160000000002
2024-12-03,3.0,2024-12-06 00:00:00,-446.0100000000002
2024-12-10,3.0,2024-12-13 00:00:00,-715.3249999999989
2024-12-17,3.0,2024-12-20 00:00:00,-18707.875
2024-12-23,3.0,2024-12-27 00:00:00,10562.295000000002
2025-01-02,3.0,2025-01-03 00:00:00,2028.5300000000007
2025-01-09,3.0,2025-01-14 00:00:00,-2635.434999999996
2025-01-16,3.0,2025-01-21 00:00:00,-3527.595000000003
2025-01-23,3.0,2025-01-28 00:00:00,8418.9
2025-01-30,3.0,2025-02-04 00:00:00,22435.035
2025-02-06,3.0,2025-02-11 00:00:00,-22995.494999999995
2025-02-13,3.0,2025-02-18 00:00:00,12163.545
2025-02-20,3.0,2025-02-25 00:00:00,10471.454999999998
2025-02-27,3.0,2025-03-04 00:00:00,-9730.894999999999
2025-03-06,3.0,2025-03-11 00:00:00,9666.165000000003
2025-03-12,3.0,2025-03-18 00:00:00,4901.055
2025-03-20,3.0,2025-03-25 00:00:00,-20529.140000000007
2025-03-26,3.0,2025-04-01 00:00:00,-19688.23
2025-04-03,3.0,2025-04-08 00:00:00,-10389.11
2025-04-16,3.0,2025-04-22 00:00:00,-19701.985
2025-04-24,3.0,2025-04-29 00:00:00,-439.5199999999986
2025-05-08,3.0,2025-05-13 00:00:00,-5510.800000000004
2025-05-15,3.0,2025-05-20 00:00:00,-216.9449999999979
2025-05-22,3.0,2025-05-27 00:00:00,-2571.0049999999974
2025-05-29,3.0,2025-06-03 00:00:00,10314.855
2025-06-05,3.0,2025-06-10 00:00:00,-44.74000000000342
2025-06-12,3.0,2025-06-17 00:00:00,805.8500000000004
2025-06-19,3.0,2025-06-24 00:00:00,-382.47999999999774
2025-06-26,3.0,2025-07-01 00:00:00,1796.319999999998
2025-07-03,3.0,2025-07-08 00:00:00,7887.93
2025-07-10,3.0,2025-07-15 00:00:00,-311.90500000000156
2025-07-17,3.0,2025-07-22 00:00:00,67.375
2025-07-24,3.0,2025-07-29 00:00:00,-9629.970000000001
2025-07-31,3.0,2025-08-05 00:00:00,443.71000000000095
2025-08-07,3.0,2025-08-12 00:00:00,7156.95
2025-08-13,3.0,2025-08-19 00:00:00,-7675.82
2025-08-21,3.0,2025-08-26 00:00:00,2330.7599999999993
