Date,DaysToExpiry,ExpiryDate,PnL
2024-07-02,3.0,2024-07-05 00:00:00,8038.95
2024-07-09,3.0,2024-07-12 00:00:00,66.13000000000102
2024-07-15,3.0,2024-07-19 00:00:00,4862.144999999998
2024-07-23,3.0,2024-07-26 00:00:00,-2982.2999999999956
2024-07-30,3.0,2024-08-02 00:00:00,7883.174999999999
2024-08-06,3.0,2024-08-09 00:00:00,6255.789999999995
2024-08-12,3.0,2024-08-16 00:00:00,2129.0799999999963
2024-08-20,3.0,2024-08-23 00:00:00,2459.370000000002
2024-08-27,3.0,2024-08-30 00:00:00,4152.945000000001
2024-09-03,3.0,2024-09-06 00:00:00,-3206.33
2024-09-10,3.0,2024-09-13 00:00:00,-2298.615
2024-09-17,3.0,2024-09-20 00:00:00,-8339.729999999998
2024-09-24,3.0,2024-09-27 00:00:00,1089.005
2024-09-30,3.0,2024-10-04 00:00:00,-18341.13000000001
2024-10-08,3.0,2024-10-11 00:00:00,17333.114999999998
2024-10-15,3.0,2024-10-18 00:00:00,990.2000000000016
2024-10-22,3.0,2024-10-25 00:00:00,-13406.575000000003
2024-10-28,3.0,2024-10-31 00:00:00,-8515.404999999999
2024-11-05,3.0,2024-11-08 00:00:00,4040.5449999999983
2024-11-11,3.0,2024-11-14 00:00:00,-12972.870000000003
2024-11-18,3.0,2024-11-22 00:00:00,-8346.494999999997
2024-11-26,3.0,2024-11-29 00:00:00,-1283.680000000004
2024-12-03,3.0,2024-12-06 00:00:00,722.5600000000031
2024-12-10,3.0,2024-12-13 00:00:00,9533.145
2024-12-17,3.0,2024-12-20 00:00:00,-14765.845000000001
2024-12-23,3.0,2024-12-27 00:00:00,9507.855000000001
2025-01-02,3.0,2025-01-03 00:00:00,3509.1900000000005
2025-01-09,3.0,2025-01-14 00:00:00,-1540.5949999999993
2025-01-16,3.0,2025-01-21 00:00:00,-2703.4350000000013
2025-01-23,3.0,2025-01-28 00:00:00,7209.929999999999
2025-01-30,3.0,2025-02-04 00:00:00,21486.645
2025-02-06,3.0,2025-02-11 00:00:00,-19672.594999999994
2025-02-13,3.0,2025-02-18 00:00:00,10833.375
2025-02-20,3.0,2025-02-25 00:00:00,9041.294999999998
2025-02-27,3.0,2025-03-04 00:00:00,-10109.644999999999
2025-03-06,3.0,2025-03-11 00:00:00,1218.5250000000015
2025-03-12,3.0,2025-03-18 00:00:00,9518.865000000002
2025-03-20,3.0,2025-03-25 00:00:00,-18376.83
2025-03-26,3.0,2025-04-01 00:00:00,-12802.05
2025-04-03,3.0,2025-04-08 00:00:00,-10931.480000000007
2025-04-16,3.0,2025-04-22 00:00:00,-18304.145000000004
2025-04-24,3.0,2025-04-29 00:00:00,763.3900000000012
2025-05-08,3.0,2025-05-13 00:00:00,1631.9199999999992
2025-05-15,3.0,2025-05-20 00:00:00,1307.1450000000004
2025-05-22,3.0,2025-05-27 00:00:00,808.4550000000017
2025-05-29,3.0,2025-06-03 00:00:00,8639.265
2025-06-05,3.0,2025-06-10 00:00:00,1321.7899999999954
2025-06-12,3.0,2025-06-17 00:00:00,1909.7799999999997
2025-06-19,3.0,2025-06-24 00:00:00,946.6799999999985
2025-06-26,3.0,2025-07-01 00:00:00,2863.8899999999994
2025-07-03,3.0,2025-07-08 00:00:00,6842.58
2025-07-10,3.0,2025-07-15 00:00:00,625.3749999999973
2025-07-17,3.0,2025-07-22 00:00:00,942.0349999999999
2025-07-24,3.0,2025-07-29 00:00:00,-8562.400000000001
2025-07-31,3.0,2025-08-05 00:00:00,1261.8100000000004
2025-08-07,3.0,2025-08-12 00:00:00,1624.17
2025-08-13,3.0,2025-08-19 00:00:00,-7675.82
2025-08-21,3.0,2025-08-26 00:00:00,-1792.0599999999995
