Filename,Total PnL,Max Drawdown,Max Drawdown Percentage,All Monthly PnL,12M Monthly PnL,Daily 4M PnL ,min pnl ,Max Investment,ROI % ,ROI with DD,Max Drawdown Date,Time to Recover,Peak Date Before Max Drawdown,Total Trades,No. of Winners,No. of Losers,Win %,Loss %,Max Profit,Max Loss,Median PnL,Median Profit,Median Loss,SD,SD Profit,SD Loss,Last 15 Months Max Drawdown,Last 15 Months Max Drawdown Percentage,Last 15 Months Max Drawdown Date,Last 15 Months Time to Recover,Last 15 Months Peak Date Before Max Drawdown,Sortino Ratio,Dmonthly12_PnL_Ratio,Max_Drawdown_Ratio,Dmonthly12_PnL_Z,Max_Drawdown_Z,Win%_Z,Sortino_Ratio_Z,Final_Z_Score
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_1_exit_full_DTE4.csv",42449.76500000001,4276.334999999999,16.148700662003314,3032.126071428572,2926.0608333333344,3053.6525,3032.126071428572,90000,47.166405555555556,45.026957189203436,2025-02-05,21,2025-01-29,45,26,19,57.77777777777778,42.22222222222222,6166.455,-4276.334999999998,1713.53,2637.4249999999993,-1378.5399999999995,2368.040071601765,1107.6664660129143,843.431120344018,4276.334999999999,16.148700662003314,2025-02-05,21,2025-01-29,3.2748685752808817,0.03251178703703705,0.047514833333333326,1.0,0.02473864844612875,0.4285714285714286,1.0,3.1895470658395855
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_1_exit_full_DTE4.csv",32060.015000000007,4458.134999999998,20.488360063981666,2290.0010714285722,2164.270833333334,2149.7025,2290.0010714285722,90000,35.6222388888889,33.94097819102612,2025-02-05,21,2025-01-29,45,26,19,57.77777777777778,42.22222222222222,5682.665000000001,-4458.134999999999,1513.55,2263.4549999999995,-1487.099999999998,2270.598479634168,1029.7187508433856,836.2746460852089,4458.134999999998,20.488360063981666,2025-02-05,21,2025-01-29,2.415475682402491,0.02404745370370371,0.04953483333333331,0.8475857083216067,0.0293506507508614,0.4285714285714286,0.7902395582943269,2.8227603301507864
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_1_exit_full_DTE4.csv",35880.075000000004,4940.634999999998,16.77581143830868,2562.8625000000006,2460.7275000000004,1607.2825000000005,2562.8625000000006,90000,39.86675000000001,37.792116094441546,2025-05-07,21,2025-04-30,45,27,18,60.0,40.0,6166.455,-4940.635,1380.3850000000004,2073.07,-1133.5299999999997,2347.0922285893553,1334.8918683341847,1277.1551074707581,4940.634999999998,16.77581143830868,2025-05-07,21,2025-04-30,1.795288987678811,0.02734141666666667,0.05489594444444443,0.9068989480114655,0.04159097589956078,0.4761904761904762,0.6388645165604999,2.7422677267676425
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_1_exit_full_DTE4.csv",40081.28499999999,7718.105000000003,19.107784087948094,2862.9489285714285,2790.8025000000002,4357.807499999999,2862.9489285714285,90000,44.53476111111111,41.017255707117926,2025-06-11,,2025-06-04,45,30,15,66.66666666666667,33.333333333333336,6166.455,-7718.105000000002,1970.1249999999995,2679.2174999999997,-2391.1000000000013,3060.7137941438514,1082.8983699731425,1743.2416352058026,7718.105000000003,19.107784087948094,2025-06-11,,2025-06-04,1.4874294396171368,0.03100891666666667,0.08575672222222226,0.972938338559708,0.11205136116538045,0.6190476190476192,0.563722220970369,2.734133007888506
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_1_exit_full_DTE4.csv",34859.975,6399.82,33.641238169055654,2489.9982142857143,2437.834166666667,3719.4449999999993,2489.9982142857143,90000,38.73330555555555,36.16186731469001,2025-02-05,63,2025-01-29,45,30,15,66.66666666666667,33.333333333333336,6166.455,-6399.82,1438.83,2138.6450000000004,-1804.0599999999995,2673.71833340568,1281.3503447726073,1556.615276564906,6399.82,33.641238169055654,2025-02-05,63,2025-01-29,1.4261701318933107,0.0270870462962963,0.07110911111111111,0.9023185896657832,0.07860838284692832,0.6190476190476192,0.5487700616574204,2.682004078000085
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_1_exit_full_DTE4.csv",27685.099999999995,4525.589999999998,42.13984787868656,1977.507142857143,1501.487916666666,1505.6412500000001,1977.507142857143,90000,30.761222222222223,29.28847098441808,2025-01-08,142,2024-09-02,45,22,23,48.888888888888886,51.111111111111114,6425.23,-2985.08,-24.644999999999527,2165.6974999999993,-668.5749999999998,1854.9833394731556,1415.3249657944764,699.5673882011548,4525.589999999998,42.13984787868656,2025-01-08,142,2024-09-02,2.4408043766130545,0.016683199074074066,0.05028433333333331,0.7149801493351542,0.031061886259473905,0.23809523809523808,0.7964217808021729,2.599387662925472
"SENSEX_candle_5T_short_0_long_0,33_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_1_exit_full_DTE4.csv",28714.594999999998,4129.5650000000005,38.14856505177158,2051.0424999999996,1580.154166666667,1246.17125,2051.0424999999996,90000,31.905105555555544,30.505394346611496,2025-01-08,142,2024-09-02,45,21,24,46.666666666666664,53.333333333333336,8495.814999999999,-3282.73,-37.6550000000002,2218.9,-558.7324999999998,2120.007173080299,1734.7581281961182,803.7109426198647,4129.5650000000005,38.14856505177158,2025-01-08,142,2024-09-02,2.2160237039878012,0.01755726851851852,0.04588405555555556,0.7307192122957413,0.02101530643146635,0.19047619047619047,0.7415573601541847,2.546499361256555
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_4_exit_3_4th_DTE4.csv",125849.71000000002,25008.43,31.530187605677202,8989.265,8004.404166666667,12346.972499999998,8989.265,360000,34.95825277777778,32.687520634288454,2025-02-05,112,2025-01-29,45,31,14,68.88888888888889,31.11111111111111,24665.82,-25008.43,5521.540000000002,7312.870000000007,-4944.699999999999,9533.273489375726,5076.291699324579,7573.951385595592,25008.43,31.530187605677202,2025-02-05,112,2025-01-29,1.0442719522919202,0.02223445601851852,0.06946786111111111,0.8149396927265136,0.07486113097433301,0.6666666666666666,0.45555643200838414,2.528968327093898
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_4_exit_3_4th_DTE4.csv",149054.66999999998,29505.769999999993,51.77516355558784,10646.762142857144,9609.5875,18971.51,10646.762142857144,360000,41.404075,38.267641067294065,2025-01-01,100,2024-10-14,45,28,17,62.22222222222222,37.77777777777778,24665.82,-25411.580000000005,6234.22,9991.009999999998,-2186.6299999999974,10872.980473888725,5246.543423067081,8952.867614262088,29505.769999999993,51.77516355558784,2025-01-01,100,2024-10-14,1.06856959747926,0.02669329861111111,0.0819604722222222,0.8952285127307017,0.10338387911125083,0.5238095238095238,0.46148699628130196,2.5152363918055145
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3_lots_1_exit_full_DTE4.csv",23191.115000000005,5027.634999999998,20.447057675218748,1656.508214285714,1552.884166666667,1286.4050000000002,1656.508214285714,90000,25.767905555555554,24.40460083006381,2025-07-30,,2025-05-28,45,27,18,60.0,40.0,4757.505000000001,-4721.744999999998,1263.635,2037.015,-1649.6100000000001,2123.1922965062563,874.0836572850243,893.2766029616427,5027.634999999998,20.447057675218748,2025-07-30,,2025-05-28,1.5521600024995297,0.017254268518518523,0.05586261111111109,0.7252631972075019,0.043798039708756294,0.4761904761904762,0.5795216435331862,2.49908203912717
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_1_exit_full_DTE4.csv",27167.064999999995,5004.265000000003,21.108509244079954,1940.5046428571422,1836.3958333333321,864.9324999999992,1940.5046428571422,90000,30.185627777777768,28.595626733178765,2025-05-07,28,2025-04-30,45,27,18,60.0,40.0,5949.095000000001,-5004.265000000002,1136.2250000000004,1895.1600000000003,-1264.815,2263.689921781627,1262.5820853095968,1270.2989226558987,5004.265000000003,21.108509244079954,2025-05-07,28,2025-04-30,1.3150484606918402,0.020404398148148133,0.055602944444444476,0.7819864803400719,0.04320517670621729,0.4761904761904762,0.5216475068545482,2.498524048583641
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_1_exit_full_DTE4.csv",24076.399999999998,4435.194999999998,48.382476386626045,1719.7428571428572,1319.6012500000002,924.6387500000001,1719.7428571428572,90000,26.751555555555562,25.49515569910138,2024-10-21,98,2024-09-02,45,22,23,48.888888888888886,51.111111111111114,6117.179999999999,-2985.08,-41.51500000000033,2041.0525,-839.2649999999999,1803.3834422667628,1310.6269156511605,697.5535241263901,4435.194999999998,48.382476386626045,2024-10-21,98,2024-09-02,2.078324898377515,0.014662236111111114,0.04927994444444442,0.678589375676083,0.02876869622462064,0.23809523809523808,0.7079478638149538,2.4768161623140355
"SENSEX_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_1_exit_full_DTE4.csv",41962.43500000002,14440.254999999994,43.77504932942597,2997.3167857142867,2702.500833333334,4986.349999999999,2997.3167857142867,90000,46.624927777777785,40.17841109254284,2025-04-23,112,2025-01-29,45,29,16,64.44444444444444,35.55555555555556,8442.369999999999,-7832.365000000002,1996.3949999999995,2817.15,-2394.0775,3440.502284670078,1489.4835254931754,2110.868834038092,14440.254999999994,43.77504932942597,2025-04-23,112,2025-01-29,1.2920351761018378,0.030027787037037044,0.1604472777777777,0.9552714802667118,0.28258255639507807,0.5714285714285715,0.5160304290538124,2.4744336386397316
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_3_exit_2_3rd_DTE4.csv",106604.90499999997,29841.96500000002,65.31161646221474,7614.636071428569,6683.526666666664,15917.857499999998,7614.636071428569,270000,39.48329814814814,35.55369742857707,2024-12-16,107,2024-10-14,45,33,12,73.33333333333333,26.666666666666668,18499.365,-21135.24500000001,4675.665,5943.99,-3642.235,8876.473767715697,4337.500806687032,8744.887818216337,29841.96500000002,65.31161646221474,2024-12-16,107,2024-10-14,0.7781273142525557,0.02475380246913579,0.11052579629629636,0.8603046836409355,0.1686033545890068,0.7619047619047618,0.39059590313345727,2.463249613137767
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_1_exit_full_DTE4.csv",29026.955,8250.420000000002,26.399582619847603,2073.353928571429,1973.6308333333334,3336.6975,2073.353928571429,90000,32.252172222222235,29.543848260394206,2025-07-09,,2025-06-04,45,30,15,66.66666666666667,33.333333333333336,5682.665000000001,-7751.435,1750.335,2350.5299999999997,-2560.24,2967.9465636658515,1008.0579998044752,1724.5202141026964,8250.420000000002,26.399582619847603,2025-07-09,,2025-06-04,1.045713418621626,0.021929231481481484,0.09167133333333335,0.8094436211774214,0.12555542060896563,0.6190476190476192,0.4559082648156234,2.449320274907889
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_1_exit_full_DTE4.csv",25682.365,6540.210000000001,43.695593133598344,1834.4546428571423,1774.7858333333327,2863.2175,1834.4546428571423,90000,28.5359611111111,26.602764796140384,2025-02-05,63,2025-01-29,45,30,15,66.66666666666667,33.333333333333336,5949.095000000001,-6540.210000000001,1215.0199999999998,1946.7400000000002,-1939.735,2595.3230855705433,1214.9407894203675,1535.9935911775715,6540.210000000001,43.695593133598344,2025-02-05,63,2025-01-29,1.018529407832849,0.019719842592592584,0.07266900000000001,0.7696599277333092,0.08216987351558308,0.6190476190476192,0.44927319701643875,2.4462870607579745
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_3_exit_2_3rd_DTE4.csv",89907.175,25282.120000000003,58.931712194473256,6421.941071428574,5538.471666666665,10739.69,6421.941071428574,270000,33.29895370370372,30.447889970445893,2024-12-16,107,2024-10-14,45,33,12,73.33333333333333,26.666666666666668,18499.365,-20310.460000000006,3993.51,5140.59,-5334.210000000001,7526.591193901185,3902.705210772638,6914.528889022158,25282.120000000003,58.931712194473256,2024-12-16,107,2024-10-14,0.8116158253873755,0.020512858024691355,0.09363748148148149,0.7839394794255121,0.13004447001030486,0.7619047619047618,0.39876977208899117,2.433617162456579
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_1_exit_full_DTE4.csv",23750.140000000003,6544.619999999999,24.739137206042656,1696.4385714285722,784.0512500000006,17.911249999999825,1696.4385714285722,90000,26.389044444444455,24.60016933103057,2025-07-30,,2025-05-28,45,22,23,48.888888888888886,51.111111111111114,6425.23,-2847.415,-575.0949999999998,2425.0,-1352.179999999999,2278.6250866534547,1386.7815002003929,559.869593486705,6544.619999999999,24.739137206042656,2025-07-30,,2025-05-28,2.5478050389290248,0.008711680555555561,0.07271799999999999,0.571439801766786,0.08228174881901468,0.23809523809523808,0.8225384805982621,2.4307441525936526
"SENSEX_candle_5T_short_0_long_0,33_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_4_exit_3_4th_DTE4.csv",120718.40000000001,31795.710000000006,33.33745389531507,8622.742857142859,6266.75,11147.9575,8622.742857142859,360000,33.5328888888889,30.811567589650227,2025-04-23,84,2025-03-05,45,31,14,68.88888888888889,31.11111111111111,33983.26,-17944.28,2135.320000000004,5999.22,-6251.185000000001,9610.422157671568,6777.130156745799,6649.1423755803635,31795.710000000006,33.33745389531507,2025-04-23,84,2025-03-05,1.1343933444475984,0.01740763888888889,0.08832141666666668,0.7280248838571045,0.11790699318949571,0.6666666666666666,0.47755324299246127,2.4210044669934034
"SENSEX_candle_5T_short_0_long_0,33_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_3_exit_2_3rd_DTE4.csv",92003.80500000002,29268.275,40.92326624104148,6571.700357142858,4686.595833333335,9901.786250000003,6571.700357142858,270000,34.07548333333334,30.74291954267455,2025-04-02,84,2025-03-05,45,34,11,75.55555555555556,24.444444444444443,25487.444999999992,-17912.815,2401.4100000000017,4367.8275,-6919.575000000001,7867.627538457945,4875.801790235254,6490.539230897257,29268.275,40.92326624104148,2025-04-02,84,2025-03-05,0.8877075004361937,0.01735776234567902,0.10840101851851852,0.7271267743775591,0.16375212686219678,0.8095238095238095,0.41734221258812765,2.3854787648653946
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_4_exit_3_4th_DTE4.csv",108526.48000000003,36198.9,41.86292436215213,7751.89142857143,5398.520833333335,11896.472500000002,7751.89142857143,360000,30.14624444444445,27.3919185540394,2025-04-02,84,2025-03-05,45,34,11,75.55555555555556,24.444444444444443,25700.92,-19696.02,1626.8500000000058,6011.794999999998,-8674.990000000002,8945.401990656213,5702.139192603192,6752.124261885022,36198.9,41.86292436215213,2025-04-02,84,2025-03-05,0.9881173938450013,0.014995891203703707,0.1005525,0.6845973863013406,0.14583262909182804,0.8095238095238095,0.44185023885595887,2.385376900827376
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_4_exit_3_4th_DTE4.csv",122477.32,39018.32000000001,74.69076271702315,8748.38,7909.716666666667,18624.375,8748.38,360000,34.021477777777775,30.694660836625246,2025-01-01,107,2024-10-14,45,30,15,66.66666666666667,33.333333333333336,24665.82,-30113.98,5755.320000000001,8086.39,-6391.740000000003,10811.501145844284,4295.6536920120925,8867.123310274443,39018.32000000001,74.69076271702315,2025-01-01,107,2024-10-14,0.8648103484829807,0.021971435185185188,0.10838422222222224,0.8102035685179727,0.16371377807148915,0.6190476190476192,0.41175348041765164,2.367767080387945
"SENSEX_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_1_exit_full_DTE4.csv",36230.74500000002,12877.965,38.57152291886405,2587.9103571428577,2149.8675000000007,2641.6425,2587.9103571428577,90000,40.256383333333346,35.217206133500035,2025-05-07,98,2025-02-19,45,26,19,57.77777777777778,42.22222222222222,8442.369999999999,-6299.099999999997,1697.995,2603.6875,-1491.0300000000002,3009.972367682475,1591.0616731591156,1625.797973816125,12877.965,38.57152291886405,2025-05-07,98,2025-02-19,1.4257062651530958,0.023887416666666675,0.1430885,0.8447039773356294,0.24294952514831866,0.4285714285714286,0.5486568411582443,2.3646970076312694
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_4_exit_3_4th_DTE4.csv",141440.16,46110.170000000006,69.19835257203522,10102.868571428568,9161.390000000001,22829.68,10102.868571428568,360000,39.288933333333325,34.82802708437467,2025-01-01,107,2024-10-14,45,29,16,64.44444444444444,35.55555555555556,24665.82,-31777.61,7875.740000000002,10705.38,-5199.595000000002,13011.120018590149,4369.4642181918725,10463.925070320729,46110.170000000006,69.19835257203522,2025-01-01,107,2024-10-14,0.8622833698437419,0.025448305555555557,0.12808380555555557,0.8728103579588727,0.2086912650693147,0.5714285714285715,0.4111366959876895,2.360970074591533
"SENSEX_candle_5T_short_0_long_0,33_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_1_exit_full_DTE4.csv",23893.835000000003,4802.964999999999,53.70428659043502,1706.7025,1323.0199999999998,653.8062500000005,1706.7025,90000,26.548705555555557,25.20367901995471,2024-11-04,98,2024-09-02,45,20,25,44.44444444444444,55.55555555555556,8068.585,-3282.73,-276.16499999999905,2263.225,-656.1399999999999,2061.9682320532775,1575.4134352300525,784.1434369654573,4802.964999999999,53.70428659043502,2024-11-04,98,2024-09-02,1.8321934894461016,0.014700222222222219,0.05336627777777777,0.6792733783010524,0.03809848768563037,0.14285714285714288,0.6478721598116642,2.3604756218556577
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3_lots_1_exit_full_DTE4.csv",20445.54500000001,5130.369999999997,26.185403787575627,1460.3960714285715,1398.0658333333338,214.49250000000046,1460.3960714285715,90000,22.717272222222224,21.492132323252825,2025-05-07,56,2025-04-02,45,28,17,62.22222222222222,37.77777777777778,5743.174999999999,-5125.464999999998,999.1899999999996,1542.2400000000002,-1314.1800000000012,2134.957128688106,1140.5386531185634,1332.7329379084274,5130.369999999997,26.185403787575627,2025-05-07,56,2025-04-02,0.8931992581325133,0.01553406481481482,0.05700411111111108,0.6942880904013883,0.0464042776448218,0.5238095238095238,0.418682639684589,2.3284712143459174
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_1_exit_full_DTE4.csv",20860.715,4861.824999999999,31.987205972914506,1490.051071428572,1225.798333333333,1417.3125,1490.051071428572,90000,23.17857222222223,21.99063216420304,2025-02-05,112,2025-01-29,45,26,19,57.77777777777778,42.22222222222222,3467.625,-4861.824999999999,1240.145,1741.7224999999999,-917.2800000000004,1739.1930476969846,552.2159030038397,1023.7008223071091,4861.824999999999,31.987205972914506,2025-02-05,112,2025-01-29,1.191804328806681,0.013619981481481478,0.054020277777777764,0.6598218608739493,0.03959168051102399,0.4285714285714286,0.49156610432481906,2.326081998973459
"SENSEX_candle_5T_short_0_long_0,33_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_4_exit_3_4th_DTE4.csv",157256.86000000004,67119.68000000001,60.99643125554918,11232.63285714286,9438.0025,25114.580000000005,11232.63285714286,360000,43.682461111111124,36.81798506685528,2025-04-23,119,2025-01-29,45,31,14,68.88888888888889,31.11111111111111,33769.48,-33697.39000000001,7985.579999999998,10486.16,-13225.51,14952.209618195511,6296.677250459891,11406.715435513064,67119.68000000001,60.99643125554918,2025-04-23,119,2025-01-29,0.890057520461516,0.026216673611111112,0.18644355555555558,0.8866460929569987,0.3419364638334858,0.6666666666666666,0.4179158049957606,2.295958767452607
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3_lots_1_exit_full_DTE4.csv",19395.145,7315.430000000001,69.8348071923237,1385.3674999999996,1372.6474999999998,2148.8949999999995,1385.3674999999996,90000,21.550161111111105,19.930184761039435,2025-01-01,107,2024-10-14,45,31,14,68.88888888888889,31.11111111111111,5743.174999999999,-6745.240000000002,1106.9499999999998,1584.23,-2018.3325000000002,2459.947003068072,1103.401988583027,1638.2214237341232,7315.430000000001,69.8348071923237,2025-01-01,107,2024-10-14,0.680840504122854,0.015251638888888887,0.08128255555555557,0.6892025454734615,0.10183608048299175,0.6666666666666666,0.366850158394293,2.287549956718096
"SENSEX_candle_5T_short_0_long_1000_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_2_exit_Half_DTE4.csv",64155.140000000014,31543.310000000012,91.7088384204011,4582.51,3757.465833333333,12864.205000000002,4582.51,180000,35.64174444444444,30.327189264458433,2024-12-16,226,2024-10-14,45,37,8,82.22222222222223,17.77777777777778,12332.91,-18858.66,3427.06,3940.25,-14029.585,7111.757607915759,2633.6444385896352,7240.250332635508,31543.310000000012,91.7088384204011,2024-12-16,226,2024-10-14,0.558338429512353,0.020874810185185184,0.17524061111111117,0.7904570254614036,0.31635824324062917,0.9523809523809526,0.336949877052548,2.287239135463799
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_3_exit_2_3rd_DTE4.csv",80841.38000000003,34615.094999999994,53.28772343662769,5774.384285714285,3897.032916666669,10390.831250000005,5774.384285714285,270000,29.94125185185185,26.53886210071108,2025-04-02,98,2025-03-05,45,35,10,77.77777777777777,22.22222222222222,19275.69,-19134.204999999994,2286.435000000002,4464.780000000002,-7896.852499999999,7503.0521386957535,4010.6130811487023,6663.113092759456,34615.094999999994,53.28772343662769,2025-04-02,98,2025-03-05,0.7450547839430927,0.014433455246913588,0.12820405555555553,0.6744697986234028,0.20896581619661367,0.857142857142857,0.3825235666927847,2.2765989776910023
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_1_exit_full_DTE4.csv",24793.110000000004,6050.884999999998,21.866271709941696,1770.9364285714294,1099.496666666667,-719.7799999999995,1770.9364285714294,90000,27.54790000000001,25.812474294224366,2025-05-14,,2025-04-30,45,23,22,51.111111111111114,48.888888888888886,10189.940000000002,-4748.58,59.72000000000003,1791.35,-1164.1725,2510.4804479750937,2117.059582024955,1010.6518862710147,6050.884999999998,21.866271709941696,2025-05-14,,2025-04-30,1.4851171298056038,0.012216629629629633,0.06723205555555553,0.6345521946105428,0.0697564080163347,0.2857142857142858,0.5631578328640129,2.270810762315364
"SENSEX_candle_5T_short_0_long_500_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_3_exit_2_3rd_DTE4.csv",60019.77499999999,19045.21500000001,57.85369907880154,4287.126785714284,3097.9074999999993,8768.657499999998,4287.126785714284,270000,22.229546296296288,20.76483950789498,2024-12-16,107,2024-10-14,45,32,13,71.11111111111111,28.88888888888889,10402.874999999998,-17924.535000000003,3597.9300000000003,4659.637499999999,-3522.5149999999985,5760.75001150414,2506.558698843231,5306.588254797263,19045.21500000001,57.85369907880154,2024-12-16,107,2024-10-14,0.6552471416207752,0.011473731481481479,0.07053783333333337,0.6211750873322547,0.07730405887279293,0.7142857142857144,0.36060333570393,2.261617221306249
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_2_exit_Half_DTE4.csv",53964.640000000014,26562.530000000006,85.43165571749002,3854.617142857144,3072.539166666668,9132.407500000001,3854.617142857144,180000,29.980355555555562,26.12508667472267,2024-12-16,226,2024-10-14,45,36,9,80.0,20.0,12332.91,-15612.489999999998,2662.34,2930.12,-8829.48,5784.795232237732,2496.974782105481,5834.804467356022,26562.530000000006,85.43165571749002,2024-12-16,226,2024-10-14,0.5680768158387194,0.017069662037037043,0.14756961111111114,0.7219390528235095,0.25318066117416416,0.9047619047619048,0.3393268203973752,2.260466164427673
"SENSEX_candle_5T_short_0_long_0,5_entry_09,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,1_lots_3_exit_2_3rd_DTE4.csv",87554.885,34664.21000000001,84.07693536285184,6253.920357142857,5466.677499999999,14904.93,6253.920357142857,270000,32.427735185185185,28.738158971807024,2025-01-01,107,2024-10-14,45,30,15,66.66666666666667,33.333333333333336,18499.365,-23714.16000000001,4277.595,6064.7925,-3337.385,8408.168394072849,3373.2502342711673,7787.593393892442,34664.21000000001,84.07693536285184,2025-01-01,107,2024-10-14,0.6990504102862314,0.0202469537037037,0.12838596296296298,0.7791514332626849,0.20938114163335186,0.6190476190476192,0.37129482857006724,2.25058892972321
