Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,82000.0,82500,85100,85500.0,2025-07-08 00:00:00,4.0,Wednesday,46.0,87.4,88.3,46.05,0,218.5,220.75,0,8.74,8.83,,,,,250.95000000000005
2025-07-02,,0,Long,2025-07-08 09:27:00,2025-07-08 09:27:00,2025-07-07 09:16:00,2025-07-07 09:16:00,,82000.0,82500,85100,85500.0,2025-07-08 00:00:00,4.0,Wednesday,"[3.15, 3.15]","[8.7, 8.7]","[5.75, 5.75]","[3.2, 3.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-24.299999999999997
2025-07-09,11.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83555.96,81900.0,82400,84800,85200.0,2025-07-15 00:00:00,4.0,Wednesday,40.1,80.45,72.7,36.4,0,201.125,181.75,0,8.045,7.27,,,,,229.95000000000005
2025-07-09,,0,Long,2025-07-11 10:59:00,2025-07-11 10:59:00,2025-07-11 15:12:00,2025-07-11 15:12:00,,81900.0,82400,84800,85200.0,2025-07-15 00:00:00,4.0,Wednesday,"[83.25, 1.7]","[204.8, 12.6]","[7.1, 7.1]","[4.8, 4.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-260.9000000000001
2025-07-16,11.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82422.81,80600.0,81200,83600,84000.0,2025-07-22 00:00:00,4.0,Wednesday,36.7,75.25,70.3,36.4,0,188.125,175.75,0,7.525,7.03,,,,,217.35
2025-07-16,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,80600.0,81200,83600,84000.0,2025-07-22 00:00:00,4.0,Wednesday,"[5.0, 5.0]","[4.2, 4.2]","[6.35, 6.35]","[3.7, 3.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-5.549999999999994
2025-07-23,10.62,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82360.83,80800.0,81300,83500,83900.0,2025-07-29 00:00:00,4.0,Wednesday,33.45,67.35,59.0,29.1,0,168.375,147.5,0,6.734999999999999,5.9,,,,,191.39999999999992
2025-07-23,,0,Long,2025-07-25 10:17:00,2025-07-25 10:17:00,2025-07-28 09:16:00,2025-07-28 09:16:00,,80800.0,81300,83500,83900.0,2025-07-29 00:00:00,4.0,Wednesday,"[80.15, 1.45]","[182.0, 79.1]","[5.1, 5.1]","[3.5, 3.5]",0,,,0,,,Exit,SL hit,Target hit,Exit,-286.15
2025-07-30,11.55,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81371.08,79600.0,80200,82600,83100.0,2025-08-05 00:00:00,4.0,Wednesday,43.15,86.45,80.95,41.25,0,216.125,202.375,0,8.645000000000001,8.095,,,,,249.00000000000009
2025-07-30,,0,Long,2025-08-01 15:12:00,2025-08-01 15:12:00,2025-08-04 09:18:00,2025-08-04 09:18:00,,79600.0,80200,82600,83100.0,2025-08-05 00:00:00,4.0,Wednesday,"[85.85, 2.05]","[222.7, 2.4]","[7.95, 7.95]","[4.4, 4.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-284.7
2025-08-06,11.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80784.89,79000.0,79600,82000,82400.0,2025-08-12 00:00:00,4.0,Wednesday,49.35,105.25,96.2,51.5,0,263.125,240.5,0,10.525,9.62,,,,,301.8
2025-08-06,,0,Long,2025-08-12 09:17:00,2025-08-12 09:17:00,2025-08-08 15:29:00,2025-08-08 15:29:00,,79000.0,79600,82000,82400.0,2025-08-12 00:00:00,4.0,Wednesday,"[3.8, 3.8]","[10.25, 10.25]","[9.5, 9.5]","[6.05, 6.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.7
2025-08-20,11.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81518.32,79700.0,80300,82700,83100.0,2025-08-26 00:00:00,4.0,Wednesday,35.85,76.35,66.75,32.35,0,190.875,166.875,0,7.635,6.675000000000001,,,,,224.69999999999996
2025-08-20,,0,Long,2025-08-25 09:29:00,2025-08-25 09:29:00,2025-08-25 14:32:00,2025-08-25 14:32:00,,79700.0,80300,82700,83100.0,2025-08-26 00:00:00,4.0,Wednesday,"[3.95, 3.95]","[7.2, 7.2]","[6.55, 6.55]","[3.1, 3.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.1
2025-05-07,19.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80781.75,77300.0,78800,82800,83400.0,2025-05-13 00:00:00,4.0,Wednesday,108.85,217.45,68.7,36.05,0,543.625,171.75,0,21.745,6.870000000000001,,,,,423.75
2025-05-07,,0,Long,2025-05-09 09:15:00,2025-05-09 09:15:00,2025-05-09 12:05:00,2025-05-09 12:05:00,,77300.0,78800,82800,83400.0,2025-05-13 00:00:00,4.0,Wednesday,"[250.0, 0.15]","[630.25, 0.4]","[6.8, 6.8]","[4.5, 4.5]",0,,,0,,,Exit,SL hit,Target hit,Exit,-767.6500000000002
2025-05-14,17.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81573.94,78800.0,79800,83400,84300.0,2025-05-20 00:00:00,4.0,Wednesday,92.95,190.1,184.5,89.0,0,475.25,461.25,0,19.01,18.45,,,,,577.9499999999999
2025-05-14,,0,Long,2025-05-19 09:23:00,2025-05-19 09:23:00,2025-05-20 09:16:00,2025-05-20 09:16:00,,78800.0,79800,83400,84300.0,2025-05-20 00:00:00,4.0,Wednesday,"[6.8, 6.8]","[18.2, 18.2]","[17.95, 17.95]","[4.15, 4.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-75.6
2025-05-21,17.55,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81387.06,78700.0,79600,83200,83900.0,2025-05-27 00:00:00,4.0,Wednesday,67.55,135.55,134.4,68.5,0,338.875,336.0,0,13.555,13.44,,,,,401.70000000000016
2025-05-21,,0,Long,2025-05-26 09:46:00,2025-05-26 09:46:00,2025-05-27 10:17:00,2025-05-27 10:17:00,,78700.0,79600,83200,83900.0,2025-05-27 00:00:00,4.0,Wednesday,"[5.35, 5.35]","[12.6, 12.6]","[12.6, 12.6]","[4.05, 4.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-47.4
2025-05-28,18.93,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81335.96,78500.0,79400,83200,84100.0,2025-06-03 00:00:00,4.0,Wednesday,110.95,228.75,291.65,139.4,0,571.875,729.125,0,22.875,29.165,,,,,810.1499999999997
2025-05-28,,0,Long,2025-06-02 15:01:00,2025-06-02 15:01:00,2025-06-02 09:16:00,2025-06-02 09:16:00,,78500.0,79400,83200,84100.0,2025-06-03 00:00:00,4.0,Wednesday,"[5.3, 5.3]","[22.25, 22.25]","[24.05, 24.05]","[6.1, 6.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-104.70000000000002
2025-06-04,16.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,80824.13,78500.0,79200,82400,83100.0,2025-06-10 00:00:00,4.0,Wednesday,64.0,130.45,179.8,90.05,0,326.125,449.5,0,13.045,17.98,,,,,468.6
2025-06-04,,0,Long,2025-06-06 11:04:00,2025-06-06 11:04:00,2025-06-06 11:56:00,2025-06-06 11:56:00,,78500.0,79200,82400,83100.0,2025-06-10 00:00:00,4.0,Wednesday,"[7.45, 7.45]","[12.65, 12.65]","[467.8, 18.55]","[204.15, 1.0]",0,,,0,,,Exit,Target hit,SL hit,Exit,-560.4499999999999
2025-06-11,13.87,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82482.2,80500.0,81100,83900,84400.0,2025-06-17 00:00:00,4.0,Wednesday,49.45,98.15,87.55,42.6,0,245.375,218.875,0,9.815,8.755,,,,,280.95
2025-06-11,,0,Long,2025-06-12 13:51:00,2025-06-12 13:51:00,2025-06-13 09:46:00,2025-06-13 09:46:00,,80500.0,81100,83900,84400.0,2025-06-17 00:00:00,4.0,Wednesday,"[117.3, 0.7]","[249.05, 0.95]","[8.45, 8.45]","[5.8, 5.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-271.7000000000001
2025-06-18,14.39,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81695.5,79400.0,80200,83200,83700.0,2025-06-24 00:00:00,4.0,Wednesday,64.05,131.15,96.15,46.45,0,327.875,240.375,0,13.115000000000002,9.615000000000002,,,,,350.4000000000001
2025-06-18,,0,Long,2025-06-24 09:15:00,2025-06-24 09:15:00,2025-06-23 15:23:00,2025-06-23 15:23:00,,79400.0,80200,83200,83700.0,2025-06-24 00:00:00,4.0,Wednesday,"[2.1, 2.1]","[8.0, 8.0]","[9.35, 9.35]","[4.0, 4.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-33.75
2025-06-25,13.33,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82461.05,80400.0,81100,83900,84500.0,2025-07-01 00:00:00,4.0,Wednesday,63.0,126.55,104.7,49.9,0,316.375,261.75,0,12.655,10.47,,,,,355.05
2025-06-25,,0,Long,2025-06-27 13:40:00,2025-06-27 13:40:00,2025-06-26 10:00:00,2025-06-26 10:00:00,,80400.0,81100,83900,84500.0,2025-07-01 00:00:00,4.0,Wednesday,"[8.0, 8.0]","[12.65, 12.65]","[262.8, 1.5]","[119.25, 0.85]",0,,,0,,,Exit,Target hit,SL hit,Exit,-301.69999999999993
2025-04-02,13.87,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,76354.32,74300.0,75100,77700,78300.0,2025-04-08 00:00:00,4.0,Wednesday,72.3,150.3,149.1,74.35,0,375.75,372.75,0,15.03,14.91,,,,,458.2500000000001
2025-04-02,,0,Long,2025-04-07 09:15:00,2025-04-07 09:15:00,2025-04-04 09:47:00,2025-04-04 09:47:00,,74300.0,75100,77700,78300.0,2025-04-08 00:00:00,4.0,Wednesday,"[1663.95, 30.5]","[1500.05, 726.35]","[14.85, 14.85]","[7.1, 7.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-391.2999999999997
