Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-02,12.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83259.19,81000.0,82000,84600,85600.0,2025-07-08 00:00:00,4.0,Wednesday,24.2,89.95,79.05,16.25,0,224.875,197.625,0,8.995000000000001,7.905,,,,,257.1
2025-07-02,,0,Long,2025-07-07 14:21:00,2025-07-07 14:21:00,2025-07-08 09:16:00,2025-07-08 09:16:00,,81000.0,82000,84600,85600.0,2025-07-08 00:00:00,4.0,Wednesday,"[2.9, 2.9]","[8.95, 8.95]","[5.75, 5.75]","[1.35, 1.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.9
2025-07-09,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83605.34,81400.0,82400,84800,85800.0,2025-07-15 00:00:00,4.0,Wednesday,21.0,70.65,75.2,14.85,0,176.625,188.0,0,7.065000000000001,7.52,,,,,220.00000000000009
2025-07-09,,0,Long,2025-07-11 10:58:00,2025-07-11 10:58:00,2025-07-11 10:45:00,2025-07-11 10:45:00,,81400.0,82400,84800,85800.0,2025-07-15 00:00:00,4.0,Wednesday,"[32.25, 1.65]","[190.55, 12.6]","[7.5, 7.5]","[3.45, 3.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-177.35000000000002
2025-07-16,11.28,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82695.13,80500.0,81500,83900,84900.0,2025-07-22 00:00:00,4.0,Wednesday,18.5,60.6,51.4,10.0,0,151.5,128.5,0,6.0600000000000005,5.140000000000001,,,,,167.0
2025-07-16,,0,Long,2025-07-18 10:16:00,2025-07-18 10:16:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,80500.0,81500,83900,84900.0,2025-07-22 00:00:00,4.0,Wednesday,"[32.05, 0.85]","[166.5, 1.4]","[4.3, 4.3]","[1.55, 1.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-140.5
2025-07-23,10.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82658.24,80600.0,81600,83800,84800.0,2025-07-29 00:00:00,4.0,Wednesday,16.85,60.0,48.45,10.05,0,150.0,121.125,0,6.0,4.845000000000001,,,,,163.1
2025-07-23,,0,Long,2025-07-24 12:05:00,2025-07-24 12:05:00,2025-07-28 09:16:00,2025-07-28 09:16:00,,80600.0,81600,83800,84800.0,2025-07-29 00:00:00,4.0,Wednesday,"[38.5, 1.3]","[154.6, 373.85]","[3.75, 3.75]","[1.9, 1.9]",0,,,0,,,Exit,SL hit,Target hit,Exit,-492.35
2025-07-30,11.26,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81564.94,79500.0,80500,82700,83700.0,2025-08-05 00:00:00,4.0,Wednesday,27.65,85.1,81.45,18.6,0,212.75,203.625,0,8.51,8.145000000000001,,,,,240.6
2025-07-30,,0,Long,2025-07-31 09:16:00,2025-07-31 09:16:00,2025-08-04 09:16:00,2025-08-04 09:16:00,,79500.0,80500,82700,83700.0,2025-08-05 00:00:00,4.0,Wednesday,"[83.35, 2.0]","[243.3, 8.5]","[6.7, 6.7]","[2.9, 2.9]",0,,,0,,,Exit,SL hit,Target hit,Exit,-174.05
2025-08-06,11.83,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80563.36,78400.0,79400,81800,82800.0,2025-08-12 00:00:00,4.0,Wednesday,26.0,88.2,68.5,13.35,0,220.5,171.25,0,8.82,6.8500000000000005,,,,,234.7
2025-08-06,,0,Long,2025-08-12 09:15:00,2025-08-12 09:15:00,2025-08-11 09:50:00,2025-08-11 09:50:00,,78400.0,79400,81800,82800.0,2025-08-12 00:00:00,4.0,Wednesday,"[3.1, 3.1]","[7.55, 7.55]","[6.7, 6.7]","[2.85, 2.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.6
2025-08-20,11.79,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81914.24,79700.0,80700,83100,84100.0,2025-08-26 00:00:00,4.0,Wednesday,19.65,66.0,56.55,10.65,0,165.0,141.375,0,6.6000000000000005,5.655,,,,,184.5
2025-08-20,,0,Long,2025-08-26 13:43:00,2025-08-26 13:43:00,2025-08-25 09:49:00,2025-08-25 09:49:00,,79700.0,80700,83100,84100.0,2025-08-26 00:00:00,4.0,Wednesday,"[3.6, 3.6]","[6.45, 6.45]","[5.6, 5.6]","[2.75, 2.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.400000000000002
