Date,DaysToExpiry,ExpiryDate,PnL
2024-07-01,4.0,2024-07-05 00:00:00,2057.0
2024-07-08,4.0,2024-07-12 00:00:00,1290.3600000000004
2024-07-22,4.0,2024-07-26 00:00:00,4774.425000000001
2024-07-29,4.0,2024-08-02 00:00:00,2435.46
2024-08-19,4.0,2024-08-23 00:00:00,1357.9950000000001
2024-08-26,4.0,2024-08-30 00:00:00,833.575
2024-09-02,4.0,2024-09-06 00:00:00,925.7599999999999
2024-09-09,4.0,2024-09-13 00:00:00,-818.06
2024-09-16,4.0,2024-09-20 00:00:00,-1485.2299999999998
2024-09-23,4.0,2024-09-27 00:00:00,1572.1799999999998
2024-10-14,4.0,2024-10-18 00:00:00,-2307.435
2024-10-21,4.0,2024-10-25 00:00:00,-1584.5099999999993
2024-11-04,4.0,2024-11-08 00:00:00,-1217.1900000000014
2024-11-25,4.0,2024-11-29 00:00:00,2244.4499999999994
2024-12-02,4.0,2024-12-06 00:00:00,-2091.2699999999986
2024-12-09,4.0,2024-12-13 00:00:00,3208.335
2024-12-16,4.0,2024-12-20 00:00:00,-1455.5150000000003
2025-01-01,4.0,2025-01-03 00:00:00,-1419.0049999999997
2025-01-08,4.0,2025-01-14 00:00:00,-2055.9199999999983
2025-01-15,4.0,2025-01-21 00:00:00,1771.4149999999995
2025-01-22,4.0,2025-01-28 00:00:00,2363.7
2025-01-29,4.0,2025-02-04 00:00:00,6117.179999999999
2025-02-05,4.0,2025-02-11 00:00:00,-3041.334999999999
2025-02-12,4.0,2025-02-18 00:00:00,2943.9100000000008
2025-02-19,4.0,2025-02-25 00:00:00,2713.495
2025-03-05,4.0,2025-03-11 00:00:00,-1410.0249999999996
2025-03-19,4.0,2025-03-25 00:00:00,-1281.9449999999997
2025-04-02,4.0,2025-04-08 00:00:00,11.240000000001146
2025-04-23,4.0,2025-04-29 00:00:00,-1894.7400000000007
2025-04-30,4.0,2025-05-06 00:00:00,2289.5950000000007
2025-05-07,4.0,2025-05-13 00:00:00,-2467.7900000000022
2025-05-14,4.0,2025-05-20 00:00:00,-1825.5149999999999
2025-05-21,4.0,2025-05-27 00:00:00,2865.3199999999997
2025-05-28,4.0,2025-06-03 00:00:00,3398.03
2025-06-04,4.0,2025-06-10 00:00:00,-2120.365
2025-06-11,4.0,2025-06-17 00:00:00,-602.3649999999993
2025-06-18,4.0,2025-06-24 00:00:00,-1800.7600000000002
2025-06-25,4.0,2025-07-01 00:00:00,-916.7700000000004
2025-07-02,4.0,2025-07-08 00:00:00,2025.105
2025-07-09,4.0,2025-07-15 00:00:00,-1183.1499999999992
2025-07-16,4.0,2025-07-22 00:00:00,-1212.5699999999997
2025-07-23,4.0,2025-07-29 00:00:00,-856.4649999999995
2025-07-30,4.0,2025-08-05 00:00:00,-1063.0200000000004
2025-08-06,4.0,2025-08-12 00:00:00,1872.925
2025-08-20,4.0,2025-08-26 00:00:00,1474.4350000000002
