Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83000.0,83500,84100,84500.0,2025-07-01 00:00:00,0.25,Tuesday,27.05,87.6,82.4,26.45,0,219.0,206.0,0,8.76,8.24,,,,,349.5
2025-07-01,,0,Long,2025-07-01 14:01:00,2025-07-01 14:01:00,2025-07-01 11:45:00,2025-07-01 11:45:00,,83000.0,83500,84100,84500.0,2025-07-01 00:00:00,0.25,Tuesday,"[2.6, 2.6]","[7.8, 7.8]","[8.2, 8.2]","[3.55, 3.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.549999999999997
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,81600.0,82500,85100,85800.0,2025-07-08 00:00:00,4.0,Wednesday,28.9,87.4,88.3,29.2,0,218.5,220.75,0,8.74,8.83,,,,,352.80000000000007
2025-07-02,,0,Long,2025-07-08 09:27:00,2025-07-08 09:27:00,2025-07-07 09:16:00,2025-07-07 09:16:00,,81600.0,82500,85100,85800.0,2025-07-08 00:00:00,4.0,Wednesday,"[1.9, 1.9]","[8.7, 8.7]","[5.75, 5.75]","[2.45, 2.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-30.299999999999997
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81400.0,82300,84500,85200.0,2025-07-08 00:00:00,3.0,Thursday,34.6,107.5,89.8,29.2,0,268.75,224.5,0,10.75,8.98,,,,,400.5
2025-07-03,,0,Long,2025-07-08 09:18:00,2025-07-08 09:18:00,2025-07-08 09:16:00,2025-07-08 09:16:00,,81400.0,82300,84500,85200.0,2025-07-08 00:00:00,3.0,Thursday,"[1.75, 1.75]","[9.95, 9.95]","[7.5, 7.5]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-41.99999999999999
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,81800.0,82400,84200,84800.0,2025-07-08 00:00:00,2.0,Friday,27.75,77.75,86.1,29.35,0,194.375,215.25,0,7.775,8.61,,,,,320.24999999999994
2025-07-04,,0,Long,2025-07-08 09:25:00,2025-07-08 09:25:00,2025-07-08 09:59:00,2025-07-08 09:59:00,,81800.0,82400,84200,84800.0,2025-07-08 00:00:00,2.0,Friday,"[2.3, 2.3]","[7.65, 7.65]","[7.9, 7.9]","[2.15, 2.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-33.3
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82200.0,82700,84100,84600.0,2025-07-08 00:00:00,1.0,Monday,24.25,69.25,51.6,15.9,0,173.125,129.0,0,6.925000000000001,5.16,,,,,242.1
2025-07-07,,0,Long,2025-07-08 10:20:00,2025-07-08 10:20:00,2025-07-08 11:10:00,2025-07-08 11:10:00,,82200.0,82700,84100,84600.0,2025-07-08 00:00:00,1.0,Monday,"[2.75, 2.75]","[6.9, 6.9]","[5.0, 5.0]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.700000000000003
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,82800.0,83200,83800,84100.0,2025-07-08 00:00:00,0.25,Tuesday,20.3,63.35,49.05,16.4,0,158.375,122.625,0,6.335000000000001,4.905,,,,,227.1
2025-07-08,,0,Long,2025-07-08 13:44:00,2025-07-08 13:44:00,2025-07-08 13:34:00,2025-07-08 13:34:00,,82800.0,83200,83800,84100.0,2025-07-08 00:00:00,0.25,Tuesday,"[2.0, 2.0]","[5.35, 5.35]","[4.9, 4.9]","[2.05, 2.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-18.6
2025-07-09,11.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83555.96,81600.0,82400,84800,85400.0,2025-07-15 00:00:00,4.0,Wednesday,27.55,80.45,72.7,25.9,0,201.125,181.75,0,8.045,7.27,,,,,299.1
2025-07-09,,0,Long,2025-07-11 10:59:00,2025-07-11 10:59:00,2025-07-11 15:12:00,2025-07-11 15:12:00,,81600.0,82400,84800,85400.0,2025-07-15 00:00:00,4.0,Wednesday,"[48.8, 1.7]","[204.8, 12.6]","[7.1, 7.1]","[3.95, 3.95]",0,,,0,,,Exit,SL hit,Target hit,Exit,-332.3500000000001
2025-07-10,11.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83482.16,81600.0,82400,84600,85300.0,2025-07-15 00:00:00,3.0,Thursday,23.3,73.6,68.8,21.9,0,184.0,172.0,0,7.359999999999999,6.88,,,,,291.5999999999999
2025-07-10,,0,Long,2025-07-11 10:58:00,2025-07-11 10:58:00,2025-07-14 09:15:00,2025-07-14 09:15:00,,81600.0,82400,84600,85300.0,2025-07-15 00:00:00,3.0,Thursday,"[45.7, 1.7]","[190.55, 12.6]","[5.75, 5.75]","[3.85, 3.85]",0,,,0,,,Exit,SL hit,Target hit,Exit,-306.30000000000007
2025-07-11,11.69,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82994.87,81400.0,82100,83900,84500.0,2025-07-15 00:00:00,2.0,Friday,16.95,55.05,63.2,20.3,0,137.625,158.0,0,5.505,6.32,,,,,243.0
2025-07-11,,0,Long,2025-07-11 11:10:00,2025-07-11 11:10:00,2025-07-14 15:20:00,2025-07-14 15:20:00,,81400.0,82100,83900,84500.0,2025-07-15 00:00:00,2.0,Friday,"[41.3, 1.65]","[143.35, 2.3]","[6.25, 6.25]","[2.75, 2.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-215.25
2025-07-14,12.15,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82209.0,81100.0,81600,82800,83400.0,2025-07-15 00:00:00,1.0,Monday,19.95,56.9,72.5,22.45,0,142.25,181.25,0,5.69,7.25,,,,,261.0
2025-07-14,,0,Long,2025-07-15 09:30:00,2025-07-15 09:30:00,2025-07-15 14:08:00,2025-07-15 14:08:00,,81100.0,81600,82800,83400.0,2025-07-15 00:00:00,1.0,Monday,"[2.2, 2.2]","[5.45, 5.45]","[6.35, 6.35]","[1.75, 1.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-23.55
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81800.0,82100,82700,83000.0,2025-07-15 00:00:00,0.25,Tuesday,10.0,27.85,48.9,17.6,0,69.625,122.25,0,2.785,4.890000000000001,,,,,147.45
2025-07-15,,0,Long,2025-07-15 14:19:00,2025-07-15 14:19:00,2025-07-15 11:06:00,2025-07-15 11:06:00,,81800.0,82100,82700,83000.0,2025-07-15 00:00:00,0.25,Tuesday,"[1.8, 1.8]","[2.75, 2.75]","[127.15, 5.25]","[41.95, 2.8]",0,,,0,,,Exit,Target hit,SL hit,Exit,-175.70000000000002
2025-07-16,11.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82422.81,80200.0,81200,83600,84300.0,2025-07-22 00:00:00,4.0,Wednesday,23.75,75.25,70.3,22.5,0,188.125,175.75,0,7.525,7.03,,,,,297.9
2025-07-16,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,80200.0,81200,83600,84300.0,2025-07-22 00:00:00,4.0,Wednesday,"[1.9, 1.9]","[4.2, 4.2]","[6.35, 6.35]","[2.45, 2.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-18.599999999999994
2025-07-17,11.2,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82626.07,80800.0,81600,83600,84200.0,2025-07-22 00:00:00,3.0,Thursday,21.65,66.0,66.7,23.3,0,165.0,166.75,0,6.6000000000000005,6.670000000000001,,,,,263.25
2025-07-17,,0,Long,2025-07-18 10:07:00,2025-07-18 10:07:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,80800.0,81600,83600,84200.0,2025-07-22 00:00:00,3.0,Thursday,"[42.1, 0.9]","[171.85, 1.5]","[6.35, 6.35]","[2.8, 2.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-270.75
2025-07-18,11.19,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82074.1,80700.0,81300,82900,83500.0,2025-07-22 00:00:00,2.0,Friday,22.15,64.3,84.6,26.05,0,160.75,211.5,0,6.43,8.459999999999999,,,,,302.0999999999999
2025-07-18,,0,Long,2025-07-18 10:19:00,2025-07-18 10:19:00,2025-07-22 10:28:00,2025-07-22 10:28:00,,80700.0,81300,82900,83500.0,2025-07-22 00:00:00,2.0,Friday,"[66.65, 0.95]","[170.1, 1.2]","[7.85, 7.85]","[2.4, 2.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-223.5
2025-07-21,11.6,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,81570.21,80500.0,81000,82200,82800.0,2025-07-22 00:00:00,1.0,Monday,21.9,67.3,61.25,18.4,0,168.25,153.125,0,6.73,6.125,,,,,264.75
2025-07-21,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-21 09:55:00,2025-07-21 09:55:00,,80500.0,81000,82200,82800.0,2025-07-22 00:00:00,1.0,Monday,"[2.95, 2.95]","[4.95, 4.95]","[195.25, 25.35]","[58.05, 1.3]",0,,,0,,,Exit,Target hit,SL hit,Exit,-304.45
2025-07-22,11.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82357.95,81800.0,82100,82700,83000.0,2025-07-22 00:00:00,0.25,Tuesday,19.55,54.0,31.55,11.55,0,135.0,78.875,0,5.4,3.155,,,,,163.34999999999997
2025-07-22,,0,Long,2025-07-22 14:52:00,2025-07-22 14:52:00,2025-07-22 14:15:00,2025-07-22 14:15:00,,81800.0,82100,82700,83000.0,2025-07-22 00:00:00,0.25,Tuesday,"[1.8, 1.8]","[4.95, 4.95]","[2.95, 2.95]","[2.1, 2.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.999999999999998
2025-07-23,10.62,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82360.83,80500.0,81300,83500,84200.0,2025-07-29 00:00:00,4.0,Wednesday,22.9,67.35,59.0,18.3,0,168.375,147.5,0,6.734999999999999,5.9,,,,,255.45
2025-07-23,,0,Long,2025-07-25 10:17:00,2025-07-25 10:17:00,2025-07-28 09:16:00,2025-07-28 09:16:00,,80500.0,81300,83500,84200.0,2025-07-29 00:00:00,4.0,Wednesday,"[52.45, 1.25]","[182.0, 79.1]","[5.1, 5.1]","[2.7, 2.7]",0,,,0,,,Exit,SL hit,Target hit,Exit,-344.15
2025-07-24,10.55,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82551.87,80900.0,81700,83500,84100.0,2025-07-29 00:00:00,3.0,Thursday,23.55,67.7,53.7,17.35,0,169.25,134.25,0,6.7700000000000005,5.370000000000001,,,,,241.50000000000003
