Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.51,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83682.22,82300.0,83400,84000,86900.0,2025-07-01 00:00:00,0.25,Tuesday,1.0,3.05,2.95,0.95,0,6.1,5.9,0,0.915,0.885,,,,,16.2
2025-07-01,,0,Long,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,,82300.0,83400,84000,86900.0,2025-07-01 00:00:00,0.25,Tuesday,"[0.7, 0.7]","[1.2, 1.2]","[1.25, 1.25]","[0.25, 0.25]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-6.000000000000001
2025-07-02,12.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83259.19,81200.0,82000,84600,85300.0,2025-07-08 00:00:00,4.0,Wednesday,30.65,89.95,79.05,24.8,0,179.9,158.1,0,26.985,23.715,,,,,454.2
2025-07-02,,0,Long,2025-07-04 14:45:00,2025-07-04 14:45:00,2025-07-04 11:36:00,2025-07-04 11:36:00,,81200.0,82000,84600,85300.0,2025-07-08 00:00:00,4.0,Wednesday,"[9.2, 9.2]","[26.9, 26.9]","[23.15, 23.15]","[7.05, 7.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-135.2
2025-07-03,12.43,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83436.63,81500.0,82300,84500,85200.0,2025-07-08 00:00:00,3.0,Thursday,24.7,79.85,91.0,27.9,0,159.7,182.0,0,23.955,27.3,,,,,473.0
2025-07-03,,0,Long,2025-07-07 09:38:00,2025-07-07 09:38:00,2025-07-04 11:42:00,2025-07-04 11:42:00,,81500.0,82300,84500,85200.0,2025-07-08 00:00:00,3.0,Thursday,"[5.55, 5.55]","[23.7, 23.7]","[27.2, 27.2]","[8.1, 8.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-149.0
2025-07-04,12.35,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83193.38,81600.0,82300,84100,84700.0,2025-07-08 00:00:00,2.0,Friday,19.7,64.15,64.75,20.8,0,128.3,129.5,0,19.245,19.425,,,,,353.6
2025-07-04,,0,Long,2025-07-07 10:48:00,2025-07-07 10:48:00,2025-07-08 09:29:00,2025-07-08 09:29:00,,81600.0,82300,84100,84700.0,2025-07-08 00:00:00,2.0,Friday,"[4.8, 4.8]","[18.8, 18.8]","[18.5, 18.5]","[3.4, 3.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-116.4
2025-07-07,12.53,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83429.35,82200.0,82700,84100,84500.0,2025-07-08 00:00:00,1.0,Monday,13.95,44.45,51.2,18.7,0,88.9,102.4,0,13.335,15.36,,,,,252.00000000000003
2025-07-07,,0,Long,2025-07-08 09:31:00,2025-07-08 09:31:00,2025-07-08 09:35:00,2025-07-08 09:35:00,,82200.0,82700,84100,84500.0,2025-07-08 00:00:00,1.0,Monday,"[3.45, 3.45]","[11.05, 11.05]","[13.7, 13.7]","[4.35, 4.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-67.8
2025-07-08,12.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83498.58,82200.0,83200,83800,85200.0,2025-07-08 00:00:00,0.25,Tuesday,0.75,2.3,1.6,0.55,0,4.6,3.2,0,0.69,0.48,,,,,10.4
2025-07-08,,0,Long,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,,82200.0,83200,83800,85200.0,2025-07-08 00:00:00,0.25,Tuesday,"[0.4, 0.4]","[0.9, 0.9]","[2.35, 2.35]","[0.3, 0.3]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-10.2
2025-07-09,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83605.34,81500.0,82400,84800,85400.0,2025-07-15 00:00:00,4.0,Wednesday,23.2,70.65,75.2,26.45,0,141.3,150.4,0,21.195,22.56,,,,,384.80000000000007
2025-07-09,,0,Long,2025-07-11 10:34:00,2025-07-11 10:34:00,2025-07-10 15:22:00,2025-07-10 15:22:00,,81500.0,82400,84800,85400.0,2025-07-15 00:00:00,4.0,Wednesday,"[27.75, 1.75]","[142.2, 12.6]","[21.65, 21.65]","[7.9, 7.9]",0,,,0,,,Exit,SL hit,Target hit,Exit,-202.0
2025-07-10,11.67,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83348.96,81300.0,82200,84400,85000.0,2025-07-15 00:00:00,3.0,Thursday,16.95,53.85,71.75,24.25,0,107.7,143.5,0,16.155,21.525,,,,,337.6
2025-07-10,,0,Long,2025-07-11 10:46:00,2025-07-11 10:46:00,2025-07-11 09:22:00,2025-07-11 09:22:00,,81300.0,82200,84400,85000.0,2025-07-15 00:00:00,3.0,Thursday,"[21.85, 1.5]","[112.65, 3.2]","[21.5, 21.5]","[8.4, 8.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-148.3
2025-07-11,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82508.69,80800.0,81600,83400,84000.0,2025-07-15 00:00:00,2.0,Friday,15.05,48.4,68.65,23.2,0,96.8,137.3,0,14.52,20.595,,,,,315.20000000000005
2025-07-11,,0,Long,2025-07-15 09:16:00,2025-07-15 09:16:00,2025-07-14 09:32:00,2025-07-14 09:32:00,,80800.0,81600,83400,84000.0,2025-07-15 00:00:00,2.0,Friday,"[2.35, 2.35]","[9.85, 9.85]","[20.35, 20.35]","[7.7, 7.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-80.6
2025-07-14,12.01,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82152.93,81100.0,81600,82800,83400.0,2025-07-15 00:00:00,1.0,Monday,15.2,49.05,53.95,16.95,0,98.1,107.9,0,14.714999999999998,16.185,,,,,283.4
2025-07-14,,0,Long,2025-07-15 09:16:00,2025-07-15 09:16:00,2025-07-15 09:55:00,2025-07-15 09:55:00,,81100.0,81600,82800,83400.0,2025-07-15 00:00:00,1.0,Monday,"[3.5, 3.5]","[9.85, 9.85]","[15.05, 15.05]","[3.95, 3.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-69.8
2025-07-15,11.55,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82543.31,80000.0,82200,82800,83500.0,2025-07-15 00:00:00,0.25,Tuesday,1.4,4.25,5.35,1.8,0,8.5,10.7,0,1.275,1.6049999999999998,,,,,25.6
2025-07-15,,0,Long,2025-07-15 14:38:00,2025-07-15 14:38:00,2025-07-15 15:00:00,2025-07-15 15:00:00,,80000.0,82200,82800,83500.0,2025-07-15 00:00:00,0.25,Tuesday,"[0.85, 1.3]","[8.75, 3.2]","[3.9, 3.9]","[2.05, 2.05]",0,,,0,,,Exit,SL hit,Universal exit,Exit,-21.000000000000004
2025-07-16,11.28,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82695.13,80600.0,81500,83900,84500.0,2025-07-22 00:00:00,4.0,Wednesday,20.25,60.6,51.4,17.7,0,121.2,102.8,0,18.18,15.419999999999998,,,,,296.2
2025-07-16,,0,Long,2025-07-18 09:49:00,2025-07-18 09:49:00,2025-07-18 09:16:00,2025-07-18 09:16:00,,80600.0,81500,83900,84500.0,2025-07-22 00:00:00,4.0,Wednesday,"[24.0, 0.85]","[121.65, 1.4]","[13.95, 13.95]","[5.4, 5.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-133.49999999999997
2025-07-17,11.36,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82336.74,80500.0,81300,83300,83900.0,2025-07-22 00:00:00,3.0,Thursday,18.55,56.95,72.4,24.6,0,113.9,144.8,0,17.085,21.72,,,,,344.80000000000007
