Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.51,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83682.22,82400.0,83400,84000,85000.0,2025-07-01 00:00:00,0.25,Tuesday,1.05,3.05,2.95,1.5,0,7.625,7.375,0,0.305,0.295,,,,,13.8
2025-07-01,,0,Long,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,,82400.0,83400,84000,85000.0,2025-07-01 00:00:00,0.25,Tuesday,"[0.75, 0.75]","[1.2, 1.2]","[1.25, 1.25]","[0.65, 0.65]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-4.199999999999999
2025-07-02,12.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83259.19,81000.0,82000,84600,85600.0,2025-07-08 00:00:00,4.0,Wednesday,24.2,89.95,79.05,16.25,0,224.875,197.625,0,8.995000000000001,7.905,,,,,514.2
2025-07-02,,0,Long,2025-07-07 14:21:00,2025-07-07 14:21:00,2025-07-08 09:16:00,2025-07-08 09:16:00,,81000.0,82000,84600,85600.0,2025-07-08 00:00:00,4.0,Wednesday,"[2.9, 2.9]","[8.95, 8.95]","[5.75, 5.75]","[1.35, 1.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-41.8
2025-07-03,12.43,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83436.63,81300.0,82300,84500,85500.0,2025-07-08 00:00:00,3.0,Thursday,19.5,79.85,91.0,16.5,0,199.625,227.5,0,7.984999999999999,9.1,,,,,539.4
2025-07-03,,0,Long,2025-07-08 09:21:00,2025-07-08 09:21:00,2025-07-08 09:16:00,2025-07-08 09:16:00,,81300.0,82300,84500,85500.0,2025-07-08 00:00:00,3.0,Thursday,"[1.55, 1.55]","[7.15, 7.15]","[7.5, 7.5]","[1.4, 1.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-46.8
2025-07-04,12.35,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83193.38,81300.0,82300,84100,85100.0,2025-07-08 00:00:00,2.0,Friday,12.95,64.15,64.75,10.45,0,160.375,161.875,0,6.415000000000001,6.4750000000000005,,,,,422.0
2025-07-04,,0,Long,2025-07-08 09:22:00,2025-07-08 09:22:00,2025-07-08 10:44:00,2025-07-08 10:44:00,,81300.0,82300,84100,85100.0,2025-07-08 00:00:00,2.0,Friday,"[1.45, 1.45]","[6.2, 6.2]","[6.35, 6.35]","[1.45, 1.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-38.60000000000001
2025-07-07,12.53,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83429.35,81700.0,82700,84100,85100.0,2025-07-08 00:00:00,1.0,Monday,5.4,44.45,51.2,4.5,0,111.125,128.0,0,4.445,5.120000000000001,,,,,343.0
2025-07-07,,0,Long,2025-07-08 11:31:00,2025-07-08 11:31:00,2025-07-08 11:10:00,2025-07-08 11:10:00,,81700.0,82700,84100,85100.0,2025-07-08 00:00:00,1.0,Monday,"[1.5, 1.5]","[4.4, 4.4]","[5.0, 5.0]","[1.6, 1.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-25.200000000000003
2025-07-08,12.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83498.58,82200.0,83200,83800,84800.0,2025-07-08 00:00:00,0.25,Tuesday,0.75,2.3,1.6,0.6,0,5.75,4.0,0,0.2299999999999999,0.16,,,,,10.2
2025-07-08,,0,Long,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 15:00:00,,82200.0,83200,83800,84800.0,2025-07-08 00:00:00,0.25,Tuesday,"[0.4, 0.4]","[0.9, 0.9]","[2.35, 2.35]","[0.45, 0.45]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-9.6
2025-07-09,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83605.34,81400.0,82400,84800,85800.0,2025-07-15 00:00:00,4.0,Wednesday,21.0,70.65,75.2,14.85,0,176.625,188.0,0,7.065000000000001,7.52,,,,,440.0000000000001
2025-07-09,,0,Long,2025-07-11 10:58:00,2025-07-11 10:58:00,2025-07-11 10:45:00,2025-07-11 10:45:00,,81400.0,82400,84800,85800.0,2025-07-15 00:00:00,4.0,Wednesday,"[32.25, 1.65]","[190.55, 12.6]","[7.5, 7.5]","[3.45, 3.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-502.0500000000001
2025-07-10,11.67,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83348.96,81200.0,82200,84400,85400.0,2025-07-15 00:00:00,3.0,Thursday,15.15,53.85,71.75,12.9,0,134.625,179.375,0,5.385000000000001,7.175000000000001,,,,,390.2
2025-07-10,,0,Long,2025-07-11 10:59:00,2025-07-11 10:59:00,2025-07-14 09:16:00,2025-07-14 09:16:00,,81200.0,82200,84400,85400.0,2025-07-15 00:00:00,3.0,Thursday,"[24.45, 1.55]","[143.65, 3.2]","[5.75, 5.75]","[2.25, 2.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-373.25000000000006
2025-07-11,11.88,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82508.69,80600.0,81600,83400,84400.0,2025-07-15 00:00:00,2.0,Friday,12.0,48.4,68.65,12.55,0,121.0,171.625,0,4.84,6.865000000000001,,,,,370.00000000000006
2025-07-11,,0,Long,2025-07-15 10:33:00,2025-07-15 10:33:00,2025-07-15 09:22:00,2025-07-15 09:22:00,,80600.0,81600,83400,84400.0,2025-07-15 00:00:00,2.0,Friday,"[1.5, 1.5]","[4.75, 4.75]","[6.65, 6.65]","[1.65, 1.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-33.0
2025-07-14,12.01,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82152.93,80600.0,81600,82800,83800.0,2025-07-15 00:00:00,1.0,Monday,5.55,49.05,53.95,8.7,0,122.625,134.875,0,4.905,5.3950000000000005,,,,,355.0
2025-07-14,,0,Long,2025-07-15 10:33:00,2025-07-15 10:33:00,2025-07-15 14:29:00,2025-07-15 14:29:00,,80600.0,81600,82800,83800.0,2025-07-15 00:00:00,1.0,Monday,"[1.5, 1.5]","[4.75, 4.75]","[4.9, 4.9]","[1.65, 1.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-26.0
2025-07-15,11.55,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82543.31,81200.0,82200,82800,83800.0,2025-07-15 00:00:00,0.25,Tuesday,1.65,4.25,5.35,1.6,0,10.625,13.375,0,0.425,0.535,,,,,25.4
2025-07-15,,0,Long,2025-07-15 15:00:00,2025-07-15 15:00:00,2025-07-15 15:00:00,2025-07-15 15:00:00,,81200.0,82200,82800,83800.0,2025-07-15 00:00:00,0.25,Tuesday,"[1.55, 1.55]","[3.2, 3.2]","[3.9, 3.9]","[1.95, 1.95]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-14.400000000000002
2025-07-16,11.28,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82695.13,80500.0,81500,83900,84900.0,2025-07-22 00:00:00,4.0,Wednesday,18.5,60.6,51.4,10.0,0,151.5,128.5,0,6.0600000000000005,5.140000000000001,,,,,334.0
2025-07-16,,0,Long,2025-07-18 10:16:00,2025-07-18 10:16:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,80500.0,81500,83900,84900.0,2025-07-22 00:00:00,4.0,Wednesday,"[32.05, 0.85]","[166.5, 1.4]","[4.3, 4.3]","[1.55, 1.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-414.9
2025-07-17,11.36,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82336.74,80300.0,81300,83300,84300.0,2025-07-22 00:00:00,3.0,Thursday,15.1,56.95,72.4,12.6,0,142.375,181.0,0,5.695,7.240000000000001,,,,,406.6000000000001
2025-07-17,,0,Long,2025-07-18 10:18:00,2025-07-18 10:18:00,2025-07-21 13:59:00,2025-07-21 13:59:00,,80300.0,81300,83300,84300.0,2025-07-22 00:00:00,3.0,Thursday,"[31.45, 0.8]","[154.65, 1.2]","[7.15, 7.15]","[1.9, 1.9]",0,,,0,,,Exit,SL hit,Target hit,Exit,-391.00000000000006
2025-07-18,11.39,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81806.2,80000.0,81000,82600,83600.0,2025-07-22 00:00:00,2.0,Friday,12.8,64.05,97.0,15.4,0,160.125,242.5,0,6.405,9.7,,,,,531.4000000000001
2025-07-18,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-22 11:52:00,2025-07-22 11:52:00,,80000.0,81000,82600,83600.0,2025-07-22 00:00:00,2.0,Friday,"[1.95, 1.95]","[4.95, 4.95]","[9.5, 9.5]","[2.75, 2.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-39.0
2025-07-21,11.29,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82009.1,80400.0,81400,82600,83600.0,2025-07-22 00:00:00,1.0,Monday,5.35,39.25,44.1,4.2,0,98.125,110.25,0,3.925,4.41,,,,,295.2
2025-07-21,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-22 14:14:00,2025-07-22 14:14:00,,80400.0,81400,82600,83600.0,2025-07-22 00:00:00,1.0,Monday,"[4.15, 4.15]","[2.65, 2.65]","[4.35, 4.35]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-4.599999999999998
2025-07-22,10.84,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82214.42,80900.0,81900,82500,83500.0,2025-07-22 00:00:00,0.25,Tuesday,1.4,4.3,5.25,1.85,0,10.75,13.125,0,0.43,0.525,,,,,25.200000000000003
2025-07-22,,0,Long,2025-07-22 15:00:00,2025-07-22 15:00:00,2025-07-22 15:00:00,2025-07-22 15:00:00,,80900.0,81900,82500,83500.0,2025-07-22 00:00:00,0.25,Tuesday,"[0.9, 0.9]","[2.05, 2.05]","[2.0, 2.0]","[1.0, 1.0]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-8.599999999999998
2025-07-23,10.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82658.24,80600.0,81600,83800,84800.0,2025-07-29 00:00:00,4.0,Wednesday,16.85,60.0,48.45,10.05,0,150.0,121.125,0,6.0,4.845000000000001,,,,,326.2
2025-07-23,,0,Long,2025-07-24 12:05:00,2025-07-24 12:05:00,2025-07-28 09:16:00,2025-07-28 09:16:00,,80600.0,81600,83800,84800.0,2025-07-29 00:00:00,4.0,Wednesday,"[38.5, 1.3]","[154.6, 373.85]","[3.75, 3.75]","[1.9, 1.9]",0,,,0,,,Exit,SL hit,Target hit,Exit,-728.25
2025-07-24,10.82,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,82234.12,80200.0,81200,83200,84200.0,2025-07-29 00:00:00,3.0,Thursday,15.4,51.8,58.55,11.25,0,129.5,146.375,0,5.18,5.855,,,,,334.79999999999995
2025-07-24,,0,Long,2025-07-25 10:17:00,2025-07-25 10:17:00,2025-07-29 09:15:00,2025-07-29 09:15:00,,80200.0,81200,83200,84200.0,2025-07-29 00:00:00,3.0,Thursday,"[32.9, 1.2]","[153.45, 12.75]","[3.0, 3.0]","[1.8, 1.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-378.0
2025-07-25,11.32,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81476.41,79700.0,80700,82300,83300.0,2025-07-29 00:00:00,2.0,Friday,13.2,57.2,71.35,15.4,0,143.0,178.375,0,5.720000000000001,7.135,,,,,399.80000000000007
2025-07-25,,0,Long,2025-07-28 13:34:00,2025-07-28 13:34:00,2025-07-29 09:16:00,2025-07-29 09:16:00,,79700.0,80700,82300,83300.0,2025-07-29 00:00:00,2.0,Friday,"[12.95, 1.15]","[143.2, 1.35]","[6.25, 6.25]","[2.75, 2.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-404.95
2025-07-28,12.15,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,80874.96,79300.0,80300,81500,82500.0,2025-07-29 00:00:00,1.0,Monday,6.05,43.35,59.5,11.9,0,108.375,148.75,0,4.335,5.95,,,,,339.6
2025-07-28,,0,Long,2025-07-29 13:21:00,2025-07-29 13:21:00,2025-07-29 14:37:00,2025-07-29 14:37:00,,79300.0,80300,81500,82500.0,2025-07-29 00:00:00,1.0,Monday,"[3.1, 3.1]","[4.25, 4.25]","[4.95, 4.95]","[1.65, 1.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-17.799999999999997
2025-07-29,11.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81306.92,80000.0,81000,81600,82600.0,2025-07-29 00:00:00,0.25,Tuesday,2.1,5.65,6.65,1.55,0,14.125,16.625,0,0.5650000000000001,0.665,,,,,34.6
2025-07-29,,0,Long,2025-07-29 15:00:00,2025-07-29 15:00:00,2025-07-29 15:00:00,2025-07-29 15:00:00,,80000.0,81000,81600,82600.0,2025-07-29 00:00:00,0.25,Tuesday,"[1.05, 1.05]","[1.8, 1.8]","[1.7, 1.7]","[1.1, 1.1]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-5.399999999999999
2025-07-30,11.26,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81564.94,79500.0,80500,82700,83700.0,2025-08-05 00:00:00,4.0,Wednesday,27.65,85.1,81.45,18.6,0,212.75,203.625,0,8.51,8.145000000000001,,,,,481.2000000000001
2025-07-30,,0,Long,2025-07-31 09:16:00,2025-07-31 09:16:00,2025-08-04 09:16:00,2025-08-04 09:16:00,,79500.0,80500,82700,83700.0,2025-08-05 00:00:00,4.0,Wednesday,"[83.35, 2.0]","[243.3, 8.5]","[6.7, 6.7]","[2.9, 2.9]",0,,,0,,,Exit,SL hit,Target hit,Exit,-501.55000000000007
2025-07-31,11.52,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,81500.87,79500.0,80500,82500,83500.0,2025-08-05 00:00:00,3.0,Thursday,41.35,112.2,79.35,15.1,0,280.5,198.375,0,11.22,7.935,,,,,540.4000000000001
