Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.51,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83682.22,82400.0,83400,84000,85000.0,2025-07-01 00:00:00,0.25,Tuesday,1.05,3.05,2.95,1.5,0,6.1,5.9,0,0.61,0.5900000000000001,,,,,13.8
2025-07-01,,0,Long,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-01 15:00:00,,82400.0,83400,84000,85000.0,2025-07-01 00:00:00,0.25,Tuesday,"[0.75, 0.75]","[1.2, 1.2]","[1.25, 1.25]","[0.65, 0.65]",0,,,0,,,Exit,Universal exit,Universal exit,Exit,-4.199999999999999
2025-07-02,12.59,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83259.19,81000.0,82000,84600,85600.0,2025-07-08 00:00:00,4.0,Wednesday,24.2,89.95,79.05,16.25,0,179.9,158.1,0,17.990000000000002,15.81,,,,,514.2
2025-07-02,,0,Long,2025-07-07 09:22:00,2025-07-07 09:22:00,2025-07-07 09:19:00,2025-07-07 09:19:00,,81000.0,82000,84600,85600.0,2025-07-08 00:00:00,4.0,Wednesday,"[3.85, 3.85]","[16.75, 16.75]","[15.25, 15.25]","[2.95, 2.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-100.8
2025-07-03,12.43,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83436.63,81300.0,82300,84500,85500.0,2025-07-08 00:00:00,3.0,Thursday,19.5,79.85,91.0,16.5,0,159.7,182.0,0,15.97,18.2,,,,,539.4
2025-07-03,,0,Long,2025-07-08 09:16:00,2025-07-08 09:16:00,2025-07-07 10:09:00,2025-07-07 10:09:00,,81300.0,82300,84500,85500.0,2025-07-08 00:00:00,3.0,Thursday,"[1.75, 1.75]","[11.8, 11.8]","[18.15, 18.15]","[2.85, 2.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-101.4
2025-07-04,12.35,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83193.38,81300.0,82300,84100,85100.0,2025-07-08 00:00:00,2.0,Friday,12.95,64.15,64.75,10.45,0,128.3,129.5,0,12.830000000000002,12.95,,,,,422.0
2025-07-04,,0,Long,2025-07-08 09:16:00,2025-07-08 09:16:00,2025-07-08 09:59:00,2025-07-08 09:59:00,,81300.0,82300,84100,85100.0,2025-07-08 00:00:00,2.0,Friday,"[1.75, 1.75]","[11.8, 11.8]","[11.65, 11.65]","[1.65, 1.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-80.2
2025-07-07,12.53,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83429.35,81700.0,82700,84100,85100.0,2025-07-08 00:00:00,1.0,Monday,5.4,44.45,51.2,4.5,0,88.9,102.4,0,8.89,10.240000000000002,,,,,343.0
2025-07-07,,0,Long,2025-07-08 09:46:00,2025-07-08 09:46:00,2025-07-08 10:01:00,2025-07-08 10:01:00,,81700.0,82700,84100,85100.0,2025-07-08 00:00:00,1.0,Monday,"[2.05, 2.05]","[8.65, 8.65]","[10.05, 10.05]","[1.6, 1.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-60.20000000000001
2025-07-08,12.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,83498.58,82200.0,83200,83800,84800.0,2025-07-08 00:00:00,0.25,Tuesday,0.75,2.3,1.6,0.6,0,4.6,3.2,0,0.4599999999999999,0.32,,,,,10.2
