Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83000.0,83500,84100,84600.0,2025-07-01 00:00:00,0.25,Tuesday,27.05,87.6,82.4,19.2,0,262.79999999999995,247.2,0,26.28,24.72,,,,,247.5
2025-07-01,,0,Long,2025-07-01 12:20:00,2025-07-01 12:20:00,2025-07-01 10:11:00,2025-07-01 10:11:00,,83000.0,83500,84100,84600.0,2025-07-01 00:00:00,0.25,Tuesday,"[6.65, 6.65]","[25.85, 25.85]","[24.45, 24.45]","[5.0, 5.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-77.3
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,82000.0,82500,85100,85600.0,2025-07-08 00:00:00,4.0,Wednesday,46.0,87.4,88.3,39.6,0,262.20000000000005,264.9,0,26.22,26.49,,,,,180.2
2025-07-02,,0,Long,2025-07-08 09:15:00,2025-07-08 09:15:00,2025-07-03 15:04:00,2025-07-03 15:04:00,,82000.0,82500,85100,85600.0,2025-07-08 00:00:00,4.0,Wednesday,"[7.95, 7.95]","[15.0, 15.0]","[26.35, 26.35]","[12.0, 12.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-42.8
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81800.0,82300,84500,85000.0,2025-07-08 00:00:00,3.0,Thursday,56.1,107.5,89.8,39.35,0,322.5,269.4,0,32.25,26.94,,,,,203.7
2025-07-03,,0,Long,2025-07-07 09:22:00,2025-07-07 09:22:00,2025-07-04 11:46:00,2025-07-04 11:46:00,,81800.0,82300,84500,85000.0,2025-07-08 00:00:00,3.0,Thursday,"[11.05, 11.05]","[30.55, 30.55]","[25.3, 25.3]","[10.55, 10.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-68.5
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,81900.0,82400,84200,84700.0,2025-07-08 00:00:00,2.0,Friday,32.65,77.75,86.1,34.75,0,233.25,258.29999999999995,0,23.325,25.83,,,,,192.9
2025-07-04,,0,Long,2025-07-07 13:50:00,2025-07-07 13:50:00,2025-07-08 09:15:00,2025-07-08 09:15:00,,81900.0,82400,84200,84700.0,2025-07-08 00:00:00,2.0,Friday,"[7.65, 7.65]","[22.85, 22.85]","[19.8, 19.8]","[7.5, 7.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-55.000000000000014
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82200.0,82700,84100,84600.0,2025-07-08 00:00:00,1.0,Monday,24.25,69.25,51.6,15.9,0,207.75,154.8,0,20.775,15.48,,,,,161.39999999999998
2025-07-07,,0,Long,2025-07-08 09:22:00,2025-07-08 09:22:00,2025-07-08 09:35:00,2025-07-08 09:35:00,,82200.0,82700,84100,84600.0,2025-07-08 00:00:00,1.0,Monday,"[5.0, 5.0]","[18.4, 18.4]","[13.7, 13.7]","[3.45, 3.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-47.29999999999999
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,82700.0,83200,83800,84300.0,2025-07-08 00:00:00,0.25,Tuesday,15.55,63.35,49.05,8.5,0,190.05,147.14999999999998,0,19.005,14.714999999999998,,,,,176.70000000000002
2025-07-08,,0,Long,2025-07-08 11:31:00,2025-07-08 11:31:00,2025-07-08 10:49:00,2025-07-08 10:49:00,,82700.0,83200,83800,84300.0,2025-07-08 00:00:00,0.25,Tuesday,"[4.4, 4.4]","[17.4, 17.4]","[13.5, 13.5]","[3.4, 3.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-46.2
2025-07-09,11.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83555.96,81900.0,82400,84800,85300.0,2025-07-15 00:00:00,4.0,Wednesday,40.1,80.45,72.7,30.6,0,241.35,218.1,0,24.135,21.81,,,,,164.9
2025-07-09,,0,Long,2025-07-14 09:17:00,2025-07-14 09:17:00,2025-07-10 15:22:00,2025-07-10 15:22:00,,81900.0,82400,84800,85300.0,2025-07-15 00:00:00,4.0,Wednesday,"[92.25, 1.7]","[259.5, 12.6]","[21.65, 21.65]","[9.2, 9.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-203.05000000000004
2025-07-10,11.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83482.16,81900.0,82400,84600,85100.0,2025-07-15 00:00:00,3.0,Thursday,35.25,73.6,68.8,29.85,0,220.8,206.4,0,22.08,20.64,,,,,154.59999999999997
2025-07-10,,0,Long,2025-07-11 11:04:00,2025-07-11 11:04:00,2025-07-11 09:16:00,2025-07-11 09:16:00,,81900.0,82400,84600,85100.0,2025-07-15 00:00:00,3.0,Thursday,"[95.35, 1.7]","[224.2, 12.6]","[15.85, 15.85]","[7.4, 7.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-156.65
2025-07-11,11.69,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82994.87,81600.0,82100,83900,84400.0,2025-07-15 00:00:00,2.0,Friday,23.2,55.05,63.2,24.4,0,165.14999999999998,189.6,0,16.514999999999997,18.96,,,,,141.3
2025-07-11,,0,Long,2025-07-14 09:25:00,2025-07-14 09:25:00,2025-07-14 09:16:00,2025-07-14 09:16:00,,81600.0,82100,83900,84400.0,2025-07-15 00:00:00,2.0,Friday,"[62.4, 1.7]","[186.15, 2.3]","[12.8, 12.8]","[5.75, 5.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-138.45000000000002
2025-07-14,12.15,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82209.0,81100.0,81600,82800,83300.0,2025-07-15 00:00:00,1.0,Monday,19.95,56.9,72.5,27.2,0,170.7,217.5,0,17.07,21.75,,,,,164.5
2025-07-14,,0,Long,2025-07-15 09:15:00,2025-07-15 09:15:00,2025-07-15 09:44:00,2025-07-15 09:44:00,,81100.0,81600,82800,83300.0,2025-07-15 00:00:00,1.0,Monday,"[6.15, 6.15]","[15.85, 15.85]","[21.15, 21.15]","[5.75, 5.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-50.2
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81600.0,82100,82700,83200.0,2025-07-15 00:00:00,0.25,Tuesday,5.45,27.85,48.9,9.9,0,83.55000000000001,146.7,0,8.355,14.669999999999998,,,,,122.8
2025-07-15,,0,Long,2025-07-15 11:24:00,2025-07-15 11:24:00,2025-07-15 11:07:00,2025-07-15 11:07:00,,81600.0,82100,82700,83200.0,2025-07-15 00:00:00,0.25,Tuesday,"[2.5, 2.5]","[7.85, 7.85]","[156.3, 5.25]","[28.85, 2.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-141.0
2025-07-16,11.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82422.81,80700.0,81200,83600,84100.0,2025-07-22 00:00:00,4.0,Wednesday,41.2,75.25,70.3,30.55,0,225.75,210.9,0,22.575,21.09,,,,,147.60000000000002
2025-07-16,,0,Long,2025-07-21 13:09:00,2025-07-21 13:09:00,2025-07-18 09:34:00,2025-07-18 09:34:00,,80700.0,81200,83600,84100.0,2025-07-22 00:00:00,4.0,Wednesday,"[8.4, 8.4]","[22.45, 22.45]","[20.9, 20.9]","[8.45, 8.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-52.99999999999999
