Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,42.85,87.6,82.4,36.0,0,219.0,206.0,0,8.76,8.24,,,,,182.3
2025-07-01,,0,Long,2025-07-01 14:01:00,2025-07-01 14:01:00,2025-07-01 11:45:00,2025-07-01 11:45:00,,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,"[3.45, 3.45]","[7.8, 7.8]","[8.2, 8.2]","[4.4, 4.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.299999999999997
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,82000.0,82500,85100,85500.0,2025-07-08 00:00:00,4.0,Wednesday,46.0,87.4,88.3,46.05,0,218.5,220.75,0,8.74,8.83,,,,,167.29999999999998
2025-07-02,,0,Long,2025-07-08 09:27:00,2025-07-08 09:27:00,2025-07-07 09:16:00,2025-07-07 09:16:00,,82000.0,82500,85100,85500.0,2025-07-08 00:00:00,4.0,Wednesday,"[3.15, 3.15]","[8.7, 8.7]","[5.75, 5.75]","[3.2, 3.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.2
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81800.0,82300,84500,84900.0,2025-07-08 00:00:00,3.0,Thursday,56.1,107.5,89.8,47.15,0,268.75,224.5,0,10.75,8.98,,,,,188.10000000000002
2025-07-03,,0,Long,2025-07-08 09:18:00,2025-07-08 09:18:00,2025-07-08 09:16:00,2025-07-08 09:16:00,,81800.0,82300,84500,84900.0,2025-07-08 00:00:00,3.0,Thursday,"[3.15, 3.15]","[9.95, 9.95]","[7.5, 7.5]","[2.75, 2.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-23.099999999999998
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,82000.0,82400,84200,84600.0,2025-07-08 00:00:00,2.0,Friday,38.8,77.75,86.1,41.8,0,194.375,215.25,0,7.775,8.61,,,,,166.5
2025-07-04,,0,Long,2025-07-08 09:25:00,2025-07-08 09:25:00,2025-07-08 09:59:00,2025-07-08 09:59:00,,82000.0,82400,84200,84600.0,2025-07-08 00:00:00,2.0,Friday,"[3.4, 3.4]","[7.65, 7.65]","[7.9, 7.9]","[3.15, 3.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-18.0
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82400.0,82700,84100,84400.0,2025-07-08 00:00:00,1.0,Monday,36.3,69.25,51.6,26.4,0,173.125,129.0,0,6.925000000000001,5.16,,,,,116.3
2025-07-07,,0,Long,2025-07-08 10:20:00,2025-07-08 10:20:00,2025-07-08 11:10:00,2025-07-08 11:10:00,,82400.0,82700,84100,84400.0,2025-07-08 00:00:00,1.0,Monday,"[3.8, 3.8]","[6.9, 6.9]","[5.0, 5.0]","[2.8, 2.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.600000000000001
