Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,42.85,87.6,82.4,36.0,0,219.0,206.0,0,17.52,16.48,,,,,273.45
2025-07-01,,0,Long,2025-07-01 12:36:00,2025-07-01 12:36:00,2025-07-01 10:52:00,2025-07-01 10:52:00,,83200.0,83500,84100,84400.0,2025-07-01 00:00:00,0.25,Tuesday,"[6.7, 6.7]","[16.8, 16.8]","[16.0, 16.0]","[6.55, 6.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-58.650000000000006
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,82000.0,82500,85100,85500.0,2025-07-08 00:00:00,4.0,Wednesday,46.0,87.4,88.3,46.05,0,218.5,220.75,0,17.48,17.66,,,,,250.95000000000005
2025-07-02,,0,Long,2025-07-08 09:15:00,2025-07-08 09:15:00,2025-07-04 09:23:00,2025-07-04 09:23:00,,82000.0,82500,85100,85500.0,2025-07-08 00:00:00,4.0,Wednesday,"[7.95, 7.95]","[15.0, 15.0]","[17.35, 17.35]","[9.35, 9.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-45.15000000000001
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81800.0,82300,84500,84900.0,2025-07-08 00:00:00,3.0,Thursday,56.1,107.5,89.8,47.15,0,268.75,224.5,0,21.5,17.96,,,,,282.15
2025-07-03,,0,Long,2025-07-07 09:55:00,2025-07-07 09:55:00,2025-07-07 10:10:00,2025-07-07 10:10:00,,81800.0,82300,84500,84900.0,2025-07-08 00:00:00,3.0,Thursday,"[7.95, 7.95]","[21.5, 21.5]","[17.0, 17.0]","[6.4, 6.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-72.44999999999999
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,82000.0,82400,84200,84600.0,2025-07-08 00:00:00,2.0,Friday,38.8,77.75,86.1,41.8,0,194.375,215.25,0,15.55,17.22,,,,,249.74999999999997
2025-07-04,,0,Long,2025-07-08 09:16:00,2025-07-08 09:16:00,2025-07-08 09:21:00,2025-07-08 09:21:00,,82000.0,82400,84200,84600.0,2025-07-08 00:00:00,2.0,Friday,"[5.55, 5.55]","[15.4, 15.4]","[16.4, 16.4]","[4.9, 4.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-64.04999999999998
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82400.0,82700,84100,84400.0,2025-07-08 00:00:00,1.0,Monday,36.3,69.25,51.6,26.4,0,173.125,129.0,0,13.85,10.32,,,,,174.45000000000005
2025-07-07,,0,Long,2025-07-08 09:31:00,2025-07-08 09:31:00,2025-07-08 10:00:00,2025-07-08 10:00:00,,82400.0,82700,84100,84400.0,2025-07-08 00:00:00,1.0,Monday,"[5.4, 5.4]","[11.05, 11.05]","[10.25, 10.25]","[4.4, 4.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-34.5
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,83000.0,83200,83800,84000.0,2025-07-08 00:00:00,0.25,Tuesday,35.45,63.35,49.05,23.2,0,158.375,122.625,0,12.670000000000002,9.81,,,,,161.25
2025-07-08,,0,Long,2025-07-08 12:30:00,2025-07-08 12:30:00,2025-07-08 13:23:00,2025-07-08 13:23:00,,83000.0,83200,83800,84000.0,2025-07-08 00:00:00,0.25,Tuesday,"[6.45, 6.45]","[12.1, 12.1]","[8.0, 8.0]","[4.25, 4.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-28.199999999999996
