Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2025-07-01,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83776.97,83000.0,83500,84100,84600.0,2025-07-01 00:00:00,0.25,Tuesday,27.05,87.6,82.4,19.2,0,262.79999999999995,247.2,0,8.76,8.24,,,,,495.0
2025-07-01,,0,Long,2025-07-01 14:01:00,2025-07-01 14:01:00,2025-07-01 11:45:00,2025-07-01 11:45:00,,83000.0,83500,84100,84600.0,2025-07-01 00:00:00,0.25,Tuesday,"[2.6, 2.6]","[7.8, 7.8]","[8.2, 8.2]","[3.35, 3.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-40.19999999999999
2025-07-02,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83820.52,82000.0,82500,85100,85600.0,2025-07-08 00:00:00,4.0,Wednesday,46.0,87.4,88.3,39.6,0,262.20000000000005,264.9,0,8.74,8.83,,,,,360.4
2025-07-02,,0,Long,2025-07-08 09:27:00,2025-07-08 09:27:00,2025-07-07 09:16:00,2025-07-07 09:16:00,,82000.0,82500,85100,85600.0,2025-07-08 00:00:00,4.0,Wednesday,"[3.15, 3.15]","[8.7, 8.7]","[5.75, 5.75]","[2.9, 2.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-33.6
2025-07-03,12.44,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83355.3,81800.0,82300,84500,85000.0,2025-07-08 00:00:00,3.0,Thursday,56.1,107.5,89.8,39.35,0,322.5,269.4,0,10.75,8.98,,,,,407.40000000000003
2025-07-03,,0,Long,2025-07-08 09:18:00,2025-07-08 09:18:00,2025-07-08 09:16:00,2025-07-08 09:16:00,,81800.0,82300,84500,85000.0,2025-07-08 00:00:00,3.0,Thursday,"[3.15, 3.15]","[9.95, 9.95]","[7.5, 7.5]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-48.2
2025-07-04,12.31,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83322.12,81900.0,82400,84200,84700.0,2025-07-08 00:00:00,2.0,Friday,32.65,77.75,86.1,34.75,0,233.25,258.29999999999995,0,7.775,8.61,,,,,385.79999999999995
2025-07-04,,0,Long,2025-07-08 09:25:00,2025-07-08 09:25:00,2025-07-08 09:59:00,2025-07-08 09:59:00,,81900.0,82400,84200,84700.0,2025-07-08 00:00:00,2.0,Friday,"[2.75, 2.75]","[7.65, 7.65]","[7.9, 7.9]","[2.65, 2.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-40.6
2025-07-07,12.66,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83367.05,82200.0,82700,84100,84600.0,2025-07-08 00:00:00,1.0,Monday,24.25,69.25,51.6,15.9,0,207.75,154.8,0,6.925000000000001,5.16,,,,,322.79999999999995
2025-07-07,,0,Long,2025-07-08 10:20:00,2025-07-08 10:20:00,2025-07-08 11:10:00,2025-07-08 11:10:00,,82200.0,82700,84100,84600.0,2025-07-08 00:00:00,1.0,Monday,"[2.75, 2.75]","[6.9, 6.9]","[5.0, 5.0]","[2.25, 2.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-27.6
2025-07-08,12.47,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83494.14,82700.0,83200,83800,84300.0,2025-07-08 00:00:00,0.25,Tuesday,15.55,63.35,49.05,8.5,0,190.05,147.14999999999998,0,6.335000000000001,4.905,,,,,353.40000000000003
2025-07-08,,0,Long,2025-07-08 13:44:00,2025-07-08 13:44:00,2025-07-08 13:34:00,2025-07-08 13:34:00,,82700.0,83200,83800,84300.0,2025-07-08 00:00:00,0.25,Tuesday,"[1.9, 1.9]","[5.35, 5.35]","[4.9, 4.9]","[1.5, 1.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-27.4
2025-07-09,11.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83555.96,81900.0,82400,84800,85300.0,2025-07-15 00:00:00,4.0,Wednesday,40.1,80.45,72.7,30.6,0,241.35,218.1,0,8.045,7.27,,,,,329.8
2025-07-09,,0,Long,2025-07-14 09:17:00,2025-07-14 09:17:00,2025-07-11 15:12:00,2025-07-11 15:12:00,,81900.0,82400,84800,85300.0,2025-07-15 00:00:00,4.0,Wednesday,"[92.25, 1.7]","[259.5, 12.6]","[7.1, 7.1]","[4.35, 4.35]",0,,,0,,,Exit,SL hit,Target hit,Exit,-523.6500000000001
2025-07-10,11.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,83482.16,81900.0,82400,84600,85100.0,2025-07-15 00:00:00,3.0,Thursday,35.25,73.6,68.8,29.85,0,220.8,206.4,0,7.359999999999999,6.88,,,,,309.19999999999993
2025-07-10,,0,Long,2025-07-11 11:04:00,2025-07-11 11:04:00,2025-07-14 09:15:00,2025-07-14 09:15:00,,81900.0,82400,84600,85100.0,2025-07-15 00:00:00,3.0,Thursday,"[95.35, 1.7]","[224.2, 12.6]","[5.75, 5.75]","[4.45, 4.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-402.65
2025-07-11,11.69,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82994.87,81600.0,82100,83900,84400.0,2025-07-15 00:00:00,2.0,Friday,23.2,55.05,63.2,24.4,0,165.14999999999998,189.6,0,5.505,6.32,,,,,282.6
2025-07-11,,0,Long,2025-07-14 09:25:00,2025-07-14 09:25:00,2025-07-14 15:20:00,2025-07-14 15:20:00,,81600.0,82100,83900,84400.0,2025-07-15 00:00:00,2.0,Friday,"[62.4, 1.7]","[186.15, 2.3]","[6.25, 6.25]","[3.05, 3.05]",0,,,0,,,Exit,SL hit,Target hit,Exit,-384.65000000000003
2025-07-14,12.15,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82209.0,81100.0,81600,82800,83300.0,2025-07-15 00:00:00,1.0,Monday,19.95,56.9,72.5,27.2,0,170.7,217.5,0,5.69,7.25,,,,,329.0
2025-07-14,,0,Long,2025-07-15 09:30:00,2025-07-15 09:30:00,2025-07-15 14:08:00,2025-07-15 14:08:00,,81100.0,81600,82800,83300.0,2025-07-15 00:00:00,1.0,Monday,"[2.2, 2.2]","[5.45, 5.45]","[6.35, 6.35]","[2.05, 2.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-30.200000000000003
2025-07-15,11.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82440.73,81600.0,82100,82700,83200.0,2025-07-15 00:00:00,0.25,Tuesday,5.45,27.85,48.9,9.9,0,83.55000000000001,146.7,0,2.785,4.890000000000001,,,,,245.6
2025-07-15,,0,Long,2025-07-15 14:19:00,2025-07-15 14:19:00,2025-07-15 11:07:00,2025-07-15 11:07:00,,81600.0,82100,82700,83200.0,2025-07-15 00:00:00,0.25,Tuesday,"[1.75, 1.75]","[2.75, 2.75]","[156.3, 5.25]","[28.85, 2.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-389.20000000000005
2025-07-16,11.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82422.81,80700.0,81200,83600,84100.0,2025-07-22 00:00:00,4.0,Wednesday,41.2,75.25,70.3,30.55,0,225.75,210.9,0,7.525,7.03,,,,,295.20000000000005
2025-07-16,,0,Long,2025-07-22 09:15:00,2025-07-22 09:15:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,80700.0,81200,83600,84100.0,2025-07-22 00:00:00,4.0,Wednesday,"[2.55, 2.55]","[4.2, 4.2]","[6.35, 6.35]","[3.1, 3.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-19.6
2025-07-17,11.2,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,82626.07,81100.0,81600,83600,84100.0,2025-07-22 00:00:00,3.0,Thursday,31.9,66.0,66.7,27.25,0,198.0,200.1,0,6.6000000000000005,6.670000000000001,,,,,294.19999999999993
2025-07-17,,0,Long,2025-07-18 10:17:00,2025-07-18 10:17:00,2025-07-21 09:16:00,2025-07-21 09:16:00,,81100.0,81600,83600,84100.0,2025-07-22 00:00:00,3.0,Thursday,"[102.2, 1.05]","[226.7, 1.5]","[6.35, 6.35]","[3.1, 3.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-386.9499999999999
