type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
CE,24400.0,0.14321855558747149,2025-05-08 10:15:00,2025-05-08,13.1,2025-05-08 13:40:00,3.9,Exit for Delta Adjustment,9.2
PE,24400.0,-0.8495324064688219,2025-05-08 10:15:00,2025-05-08,36.6,2025-05-08 13:50:00,44.3,Exit Max Delta Leg,-7.699999999999996
CE,24650.0,0.8102556570555168,2025-05-15 10:15:00,2025-05-15,49.2,2025-05-15 13:15:00,268.15,Exit Max Delta Leg,-218.95
CE,24950.0,0.7838608126880268,2025-05-15 13:15:00,2025-05-15,52.6,2025-05-15 14:15:00,165.35,Exit Max Delta Leg,-112.75
PE,24500.0,-0.0192336614026707,2025-05-15 10:15:00,2025-05-15,72.3,2025-05-15 15:20:00,0.15,Final Expiry Exit,72.14999999999999
PE,24750.0,-0.05703663652850234,2025-05-15 10:40:00,2025-05-15,103.2,2025-05-15 15:20:00,0.25,Final Expiry Exit,102.95
CE,25300.0,0.07627029793117304,2025-05-15 14:15:00,2025-05-15,4.7,2025-05-15 15:20:00,0.05,Final Expiry Exit,4.65
PE,24600.0,-0.7555973649271973,2025-05-22 10:15:00,2025-05-22,50.9,2025-05-22 14:20:00,132.0,Exit Max Delta Leg,-81.1
CE,24650.0,0.06178937913007766,2025-05-22 10:15:00,2025-05-22,33.35,2025-05-22 15:20:00,0.2,Final Expiry Exit,33.15
CE,24650.0,0.06178937913007766,2025-05-22 10:30:00,2025-05-22,20.15,2025-05-22 15:20:00,0.2,Final Expiry Exit,19.95
PE,24400.0,-0.12357875826015532,2025-05-22 14:20:00,2025-05-22,6.55,2025-05-22 15:20:00,0.15,Final Expiry Exit,6.3999999999999995
PE,24800.0,-0.7042249771243589,2025-05-29 10:15:00,2025-05-29,41.6,2025-05-29 11:20:00,109.25,Exit Max Delta Leg,-67.65
CE,24850.0,0.1879281396547326,2025-05-29 10:15:00,2025-05-29,36.75,2025-05-29 15:20:00,1.0,Final Expiry Exit,35.75
CE,24950.0,0.10421469125044824,2025-05-29 10:20:00,2025-05-29,16.35,2025-05-29 15:20:00,0.3,Final Expiry Exit,16.05
PE,24650.0,-0.29214283090518084,2025-05-29 11:20:00,2025-05-29,22.35,2025-05-29 15:20:00,0.05,Final Expiry Exit,22.3
CE,24750.0,0.6337036965140264,2025-06-05 10:15:00,2025-06-05,28.55,2025-06-05 12:05:00,91.05,Exit for Delta Adjustment,-62.5
PE,24700.0,-0.16188178473546472,2025-06-05 10:15:00,2025-06-05,29.5,2025-06-05 12:15:00,15.1,Exit for Delta Adjustment,14.4
PE,24850.0,-0.7428659931783769,2025-06-05 12:15:00,2025-06-05,60.2,2025-06-05 13:35:00,143.45,Exit Max Delta Leg,-83.24999999999999
CE,24800.0,0.27019828178607186,2025-06-05 10:55:00,2025-06-05,13.1,2025-06-05 15:20:00,0.25,Final Expiry Exit,12.85
PE,24700.0,-0.3891755560505305,2025-06-05 12:05:00,2025-06-05,20.5,2025-06-05 15:20:00,0.25,Final Expiry Exit,20.25
CE,24900.0,0.11897727426445864,2025-06-05 13:35:00,2025-06-05,6.8,2025-06-05 15:20:00,0.15,Final Expiry Exit,6.6499999999999995
PE,25050.0,-0.7227715182992265,2025-06-12 10:15:00,2025-06-12,35.8,2025-06-12 13:35:00,132.25,Exit Max Delta Leg,-96.45
CE,25150.0,0.06645727463107069,2025-06-12 10:15:00,2025-06-12,26.5,2025-06-12 15:20:00,0.1,Final Expiry Exit,26.4
CE,25150.0,0.06645727463107069,2025-06-12 10:45:00,2025-06-12,18.6,2025-06-12 15:20:00,0.1,Final Expiry Exit,18.5
PE,24800.0,-0.13291454926214138,2025-06-12 13:35:00,2025-06-12,7.6,2025-06-12 15:20:00,0.15,Final Expiry Exit,7.449999999999999
CE,24850.0,0.2931330735605717,2025-06-19 10:15:00,2025-06-19,27.45,2025-06-19 15:20:00,0.15,Final Expiry Exit,27.3
PE,24800.0,-0.4755747065014542,2025-06-19 10:15:00,2025-06-19,17.55,2025-06-19 15:20:00,2.4,Final Expiry Exit,15.15
CE,24900.0,0.1824416329408825,2025-06-19 10:35:00,2025-06-19,7.4,2025-06-19 15:20:00,0.1,Final Expiry Exit,7.300000000000001
CE,25400.0,0.5961047071480902,2025-06-26 10:45:00,2025-06-26,34.9,2025-06-26 13:45:00,98.55,Exit for Delta Adjustment,-63.65
CE,25450.0,0.4885307639460477,2025-06-26 10:15:00,2025-06-26,42.6,2025-06-26 15:20:00,96.55,Final Expiry Exit,-53.949999999999996
PE,25350.0,-0.2812839492732464,2025-06-26 10:15:00,2025-06-26,48.95,2025-06-26 15:20:00,0.25,Final Expiry Exit,48.7
PE,25300.0,-0.20724681467280132,2025-06-26 13:45:00,2025-06-26,19.85,2025-06-26 15:20:00,0.25,Final Expiry Exit,19.6
CE,25500.0,0.7198194726961057,2025-07-03 12:20:00,2025-07-03,20.85,2025-07-03 13:40:00,92.7,Exit Max Delta Leg,-71.85
PE,25500.0,-0.6682439374965229,2025-07-03 10:15:00,2025-07-03,29.4,2025-07-03 14:30:00,68.15,Exit for Delta Adjustment,-38.75000000000001
PE,25450.0,-0.7282296156179617,2025-07-03 13:40:00,2025-07-03,8.75,2025-07-03 14:40:00,60.2,Exit Max Delta Leg,-51.45
CE,25600.0,0.032464517879337795,2025-07-03 10:15:00,2025-07-03,21.8,2025-07-03 15:20:00,0.1,Final Expiry Exit,21.7
CE,25450.0,0.24890319144598155,2025-07-03 14:30:00,2025-07-03,24.1,2025-07-03 15:20:00,0.1,Final Expiry Exit,24.0
PE,25350.0,-0.28136770932531935,2025-07-03 14:40:00,2025-07-03,8.5,2025-07-03 15:20:00,0.1,Final Expiry Exit,8.4
CE,25450.0,0.319973873234487,2025-07-10 10:15:00,2025-07-10,34.55,2025-07-10 15:20:00,0.1,Final Expiry Exit,34.449999999999996
PE,25400.0,-0.5231609224026882,2025-07-10 10:15:00,2025-07-10,42.4,2025-07-10 15:20:00,34.9,Final Expiry Exit,7.5
CE,25500.0,0.20318704916820118,2025-07-10 10:55:00,2025-07-10,15.25,2025-07-10 15:20:00,0.1,Final Expiry Exit,15.15
CE,25200.0,0.32870523019318865,2025-07-17 10:15:00,2025-07-17,24.15,2025-07-17 15:20:00,0.15,Final Expiry Exit,24.0
PE,25150.0,-0.47898259474418065,2025-07-17 10:15:00,2025-07-17,30.25,2025-07-17 15:20:00,36.4,Final Expiry Exit,-6.149999999999999
CE,25300.0,0.150277364550992,2025-07-17 10:40:00,2025-07-17,7.65,2025-07-17 15:20:00,0.15,Final Expiry Exit,7.5
PE,25150.0,-0.73075267310854,2025-07-24 10:15:00,2025-07-24,21.25,2025-07-24 11:35:00,59.7,Exit Max Delta Leg,-38.45
CE,25200.0,0.16325528585931443,2025-07-24 10:15:00,2025-07-24,16.8,2025-07-24 15:20:00,0.1,Final Expiry Exit,16.7
CE,25200.0,0.16325528585931443,2025-07-24 11:15:00,2025-07-24,11.0,2025-07-24 15:20:00,0.1,Final Expiry Exit,10.9
PE,25050.0,-0.32651057171862885,2025-07-24 11:35:00,2025-07-24,13.35,2025-07-24 15:20:00,0.15,Final Expiry Exit,13.2
CE,24700.0,0.7464840724910425,2025-07-31 10:15:00,2025-07-31,29.0,2025-07-31 11:25:00,113.0,Exit Max Delta Leg,-84.0
PE,24650.0,-0.05108315558131819,2025-07-31 10:15:00,2025-07-31,38.75,2025-07-31 13:00:00,3.3,Exit for Delta Adjustment,35.45
PE,24650.0,-0.05108315558131819,2025-07-31 10:50:00,2025-07-31,23.25,2025-07-31 15:20:00,0.2,Final Expiry Exit,23.05
CE,24850.0,0.6516583164239975,2025-07-31 11:25:00,2025-07-31,28.75,2025-07-31 15:20:00,0.15,Final Expiry Exit,28.6
PE,24950.0,-0.6005751608426794,2025-07-31 13:00:00,2025-07-31,72.3,2025-07-31 15:20:00,184.0,Final Expiry Exit,-111.7
PE,24450.0,-0.784938060161108,2025-08-07 10:15:00,2025-08-07,25.45,2025-08-07 13:25:00,99.05,Exit Max Delta Leg,-73.6
CE,24500.0,0.5826145109037403,2025-08-07 10:15:00,2025-08-07,32.45,2025-08-07 14:45:00,38.5,Exit for Delta Adjustment,-6.049999999999997
