Date,Daily PnL,SL,Initial Target,Final Target
2021-06-10,1676.25,-15769.14,-14218.62,7488.75
2021-06-17,-243.75,-15769.14,-14218.62,7488.75
2021-06-24,4368.75,-15769.14,-14218.62,7488.75
2021-07-01,1995.0,-15769.14,-14218.62,7488.75
2021-07-08,2186.25,-15769.14,-14218.62,7488.75
2021-07-15,318.75,-15769.14,-14218.62,7488.75
2021-07-22,1530.0,-15769.14,-14218.62,7488.75
2021-07-29,1751.25,-15769.14,-14218.62,7488.75
2021-08-05,1605.0,-15769.14,-14218.62,7488.75
2021-08-12,2010.0,-15769.14,-14218.62,7488.75
2021-08-18,2497.5,-15769.14,-14218.62,7488.75
2021-08-26,3078.75,-15769.14,-14218.62,7488.75
2021-09-02,-123.75,-15769.14,-14218.62,7488.75
2021-09-09,618.75,-15769.14,-14218.62,7488.75
2021-09-16,360.0,-15769.14,-14218.62,7488.75
2021-09-23,416.25,-15769.14,-14218.62,7488.75
2021-09-30,2902.5,-15769.14,-14218.62,7488.75
2021-10-07,-228.75,-15769.14,-14218.62,7488.75
2021-10-14,401.25,-15769.14,-14218.62,7488.75
2021-10-21,1605.0,-15769.14,-14218.62,7488.75
2021-10-28,-967.5,-15769.14,-14218.62,7488.75
2021-11-03,-1522.5,-15769.14,-14218.62,7488.75
2021-11-11,4882.5,-15769.14,-14218.62,7488.75
2021-11-18,1991.25,-15769.14,-14218.62,7488.75
2021-11-25,3195.0,-15769.14,-14218.62,7488.75
2021-12-02,-1848.75,-15769.14,-14218.62,7488.75
2021-12-09,2973.75,-15769.14,-14218.62,7488.75
2021-12-16,802.5,-15769.14,-14218.62,7488.75
2021-12-23,2310.0,-15769.14,-14218.62,7488.75
2021-12-30,420.0,-15769.14,-14218.62,7488.75
2022-01-06,3461.25,-15769.14,-14218.62,7488.75
2022-01-13,480.0,-15769.14,-14218.62,7488.75
2022-01-20,1143.75,-15769.14,-14218.62,7488.75
2022-01-27,-2550.0,-15769.14,-14218.62,7488.75
2022-02-03,322.5,-15769.14,-14218.62,7488.75
2022-02-10,1170.0,-15769.14,-14218.62,7488.75
2022-02-17,-1770.0,-15769.14,-14218.62,7488.75
2022-02-24,-6330.0,-15769.14,-14218.62,7488.75
2022-03-03,4916.25,-15769.14,-14218.62,7488.75
