date,ce_entry_price,pe_entry_price,combined_entry_price,total_returns
2021-06-10,33.25,34.3,67.55,22.200000000000003
2021-06-17,17.9,21.25,39.15,-0.8000000000000007
2021-06-24,30.7,42.2,72.9,32.349999999999994
2021-07-01,26.7,24.95,51.65,29.25
2021-07-08,12.5,19.6,32.1,-73.30000000000001
2021-07-15,13.05,17.2,30.25,23.099999999999998
2021-07-22,24.3,25.1,49.4,27.95
2021-07-29,22.05,32.25,54.3,29.75
2021-08-05,10.7,22.4,33.099999999999994,23.9
2021-08-12,16.65,39.2,55.85,39.699999999999996
2021-08-18,34.65,30.55,65.2,-64.05
2021-08-26,30.4,26.900000000000002,57.300000000000004,46.95
2021-09-02,11.2,24.9,36.099999999999994,9.55
2021-09-09,27.75,30.95,58.7,39.05
2021-09-16,22.849999999999998,30.3,53.150000000000006,8.099999999999998
2021-09-23,15.65,22.55,38.2,-44.75
2021-09-30,27.1,28.75,55.85,-3.250000000000007
2021-10-07,24.0,18.0,42.0,36.45
2021-10-14,28.6,33.5,62.1,22.500000000000007
2021-10-21,35.05,32.65,67.69999999999999,75.95
2021-10-28,46.55,48.35,94.9,-16.85
2021-11-03,41.0,37.5,78.5,-36.699999999999996
2021-11-11,31.1,42.9,74.0,82.75
2021-11-18,27.05,34.75,61.8,31.15
2021-11-25,31.95,40.15,72.1,60.05
2021-12-02,20.7,41.1,61.8,21.499999999999993
2021-12-09,26.45,30.4,56.849999999999994,49.6
2021-12-16,39.15,46.1,85.25,77.5
2021-12-23,35.55,33.75,69.3,3.9500000000000046
2021-12-30,13.5,30.5,44.0,51.95
2022-01-06,31.6,36.25,67.85,21.050000000000004
2022-01-13,20.2,17.95,38.15,-2.150000000000004
2022-01-20,32.45,20.6,53.050000000000004,46.300000000000004
2022-01-27,42.25,36.15,78.4,-83.55000000000001
2022-02-03,23.45,34.45,57.900000000000006,-39.15
2022-02-10,37.25,35.35,72.6,62.45
2022-02-17,42.3,57.8,100.1,53.099999999999994
2022-02-24,57.65,60.15,117.8,-55.150000000000006
2022-03-03,52.1,61.75,113.85,-27.749999999999986
2022-03-10,44.25,41.9,86.15,67.15
2022-03-17,47.050000000000004,57.6,104.65,89.5
2022-03-24,36.7,35.7,72.4,15.450000000000006
2022-03-31,33.5,26.8,60.3,73.85000000000001
2022-04-07,17.8,23.75,41.55,12.249999999999996
2022-04-13,28.35,36.3,64.65,60.1
2022-04-21,24.05,25.0,49.05,20.25
2022-04-28,33.7,43.4,77.1,-22.749999999999993
2022-05-05,30.55,40.3,70.85,-76.75
2022-05-12,47.8,42.2,90.0,14.100000000000003
2022-05-19,35.4,42.55,77.94999999999999,47.3
2022-05-26,25.6,49.85,75.45,-230.95000000000002
2022-06-02,47.3,52.8,100.1,21.299999999999997
2022-06-09,37.75,40.75,78.5,-5.899999999999997
2022-06-16,34.65,41.8,76.44999999999999,-6.600000000000023
2022-06-23,34.05,33.3,67.35,17.4
2022-06-30,47.15,51.55,98.69999999999999,54.55
2022-07-07,45.5,45.0,90.5,55.75
2022-07-14,28.95,36.7,65.65,-5.199999999999999
2022-07-21,24.45,21.7,46.15,40.550000000000004
2022-07-28,24.65,44.5,69.15,38.25
2022-08-04,55.2,48.5,103.7,28.2
2022-08-11,45.4,40.75,86.14999999999999,74.25
2022-08-18,25.95,22.15,48.099999999999994,23.6
2022-08-25,27.1,20.15,47.25,-93.9
2022-09-01,47.3,37.2,84.5,-1.1499999999999915
2022-09-08,39.4,42.05,81.44999999999999,34.4
2022-09-15,33.55,35.4,68.94999999999999,58.05
2022-09-22,35.75,36.95,72.7,-76.79999999999998
2022-09-29,33.1,38.25,71.35,11.449999999999996
2022-10-06,19.75,34.75,54.5,38.55
2022-10-13,34.4,29.45,63.849999999999994,18.599999999999994
2022-10-20,32.25,43.15,75.4,10.600000000000003
2022-10-27,19.7,25.7,45.4,54.5
2022-11-03,32.85,36.15,69.0,61.9
2022-11-10,32.05,24.45,56.49999999999999,36.15
2022-11-17,15.85,16.75,32.6,-18.3
2022-11-24,9.1,14.65,23.75,-40.5
2022-12-01,21.1,15.1,36.2,-13.250000000000002
2022-12-08,22.9,16.6,39.5,40.65
2022-12-15,16.9,14.15,31.049999999999997,-60.49999999999999
2022-12-22,51.8,42.4,94.2,18.999999999999996
2022-12-29,23.15,18.95,42.099999999999994,-19.05
2023-01-05,24.55,30.6,55.150000000000006,18.050000000000004
2023-01-12,48.1,40.65,88.75,31.449999999999992
2023-01-19,28.95,36.35,65.3,23.200000000000003
2023-01-25,29.8,21.8,51.6,7.699999999999999
2023-02-02,50.75,57.2,107.95,98.4
2023-02-09,19.0,23.0,42.0,36.6
2023-02-16,31.25,28.099999999999998,59.35,-3.6000000000000023
2023-02-23,24.5,19.5,44.0,15.5
2023-03-02,16.6,17.5,34.1,21.950000000000003
2023-03-09,34.45,22.85,57.300000000000004,-81.10000000000001
2023-03-16,39.6,43.25,82.85,73.6
2023-03-23,17.55,28.8,46.35,1.5999999999999943
2023-03-29,22.8,27.15,49.95,-8.699999999999994
2023-04-06,29.75,28.900000000000002,58.65,53.00000000000001
