Date,"NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_11,45_pnl_threshold_2846.84.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_13,00_pnl_threshold_3396.91.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_13,00_pnl_threshold_2430.59.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,4_time_09,30_pnl_threshold_8944.74.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_10,15_pnl_threshold_5376.32.csv"
2021-06-10,2039.1075,1911.99,1911.99,1754.9625,2517.6675
2021-06-17,-62.43,-246.73125,-246.73125,-133.89375,-953.84625
2021-06-24,2917.71375,3628.07625,2685.91125,2300.82,2218.5675
2021-07-01,1381.0875,1414.73625,1414.73625,2592.4425,2267.17125
2021-07-08,-1371.345,-171.50625,-171.50625,-1736.18625,-2074.69875
2021-07-15,1575.5025,1104.42,1104.42,1945.63875,1848.43125
2021-07-22,917.4825,-258.015,711.85125,2211.09,-867.3375
2021-07-29,1384.82625,1743.74625,969.825,3138.3,3594.4275
2021-08-05,2981.2725,1070.77125,1070.77125,1407.25875,1018.42875
2021-08-12,1908.25125,1706.35875,640.815,3284.11125,2315.775
2021-08-18,2921.4525,2487.7575,1287.61875,465.09375,1855.90875
2021-08-26,1437.16875,906.26625,906.26625,3437.4,1863.38625
2021-09-02,-731.9325,-370.8525,-370.8525,1108.15875,573.5175
2021-09-09,1773.65625,614.64375,614.64375,1885.81875,1728.79125
2021-09-16,323.02125,356.67,356.67,-1119.34125,551.085
2021-09-23,20.15,745.5,745.5,1014.69,1728.79125
2021-09-30,846.44625,1822.26,2506.45125,3209.33625,1325.00625
2021-10-07,2869.11,2203.6125,771.67125,2943.885,132.345
2021-10-14,1601.67375,397.79625,397.79625,2540.1,1695.1425
2021-10-21,3224.29125,1463.34,2626.09125,2061.54,5579.70375
2021-10-28,1642.8,1698.88125,-122.61,-69.9525,-2977.39875
2021-11-03,-291.86625,-1175.76,1182.93375,-1266.03,-239.20875
2021-11-11,2842.93875,1631.58375,2446.63125,6256.4175,5359.1175
2021-11-18,3041.0925,3280.3725,2704.605,3579.4725,1052.0775
2021-11-25,1253.97,1384.82625,1384.82625,3228.03,2674.695
2021-12-02,3063.525,947.3925,2128.8375,158.51625,4192.6275
2021-12-09,-483.69,-265.5375,-265.5375,-479.92875,3942.13125
2021-12-16,2854.155,1459.60125,2790.59625,2700.86625,2697.1275
2021-12-23,382.84125,1994.2425,1994.2425,2794.335,1209.105
2021-12-30,786.62625,2528.88375,1313.79,2233.5225,2252.21625
2022-01-06,1253.97,1586.71875,1586.71875,5198.35125,4390.78125
2022-01-13,644.55375,730.545,932.4375,3209.33625,543.6075
2022-01-20,2839.2,1033.38375,-592.76625,87.48,2498.97375
