Strategy,Parameters,DTE0,DTE1,DTE2,DTE3,DTE4,Day,Status,Start_Date,End_Date
"NIFTY_candle_15T_hedge_0,25_target_0,45","['15T', 0.25, 0.45]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,25_target_0,55","['15T', 0.25, 0.55]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,25_target_0,65","['15T', 0.25, 0.65]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,25_target_100000","['15T', 0.25, 100000]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,25_target_0,7","['15T', 0.25, 0.7]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,25_target_0,8","['15T', 0.25, 0.8]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,25_target_0,75","['15T', 0.25, 0.75]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_0,45","['15T', 0.3, 0.45]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_0,55","['15T', 0.3, 0.55]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_0,5","['15T', 0.3, 0.5]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_100000","['15T', 0.3, 100000]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_0,6","['15T', 0.3, 0.6]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_0,65","['15T', 0.3, 0.65]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_0,7","['15T', 0.3, 0.7]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_0,8","['15T', 0.3, 0.8]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,3_target_0,75","['15T', 0.3, 0.75]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,2_target_0,5","['15T', 0.2, 0.5]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,2_target_100000","['15T', 0.2, 100000]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_15T_hedge_0,2_target_0,7","['15T', 0.2, 0.7]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,25_target_0,45","['10T', 0.25, 0.45]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,25_target_0,6","['10T', 0.25, 0.6]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,25_target_100000","['10T', 0.25, 100000]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,3_target_0,45","['10T', 0.3, 0.45]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,25_target_0,65","['10T', 0.25, 0.65]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,25_target_0,8","['10T', 0.25, 0.8]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,3_target_0,55","['10T', 0.3, 0.55]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,25_target_0,75","['10T', 0.25, 0.75]",,,,,,,0,2022-09-30,2023-01-19
"NIFTY_candle_10T_hedge_0,2_target_0,55","['10T', 0.2, 0.55]",,,,,,,0,2022-09-30,2023-01-19
