DateTime,CE pnl,PE pnl,PnL Combined
2023-08-11 09:30:00,0.0,0.0,0.0
2023-08-11 09:31:00,-90.0,173.0,83.0
2023-08-11 09:32:00,-39.0,124.0,85.0
2023-08-11 09:33:00,49.0,78.0,127.0
2023-08-11 09:34:00,144.0,-1.0,143.0
2023-08-11 09:35:00,277.0,-146.0,131.0
2023-08-11 09:36:00,331.0,-134.0,197.0
2023-08-11 09:37:00,304.0,-158.0,146.0
2023-08-11 09:38:00,592.0,-366.0,226.0
2023-08-11 09:39:00,639.0,-415.0,224.0
2023-08-11 09:40:00,729.0,-418.0,311.0
2023-08-11 09:41:00,742.0,-527.0,215.0
2023-08-11 09:42:00,655.0,-407.0,248.0
2023-08-11 09:43:00,605.0,-318.0,287.0
2023-08-11 09:44:00,604.0,-327.0,277.0
2023-08-11 09:45:00,626.0,-323.0,303.0
2023-08-11 09:46:00,606.0,-162.0,444.0
2023-08-11 09:47:00,843.0,-385.0,458.0
2023-08-11 09:48:00,740.0,-260.0,480.0
2023-08-11 09:49:00,751.0,-351.0,400.0
2023-08-11 09:50:00,943.0,-440.0,503.0
2023-08-11 09:51:00,1086.0,-689.0,397.0
2023-08-11 09:52:00,1224.0,-704.0,520.0
2023-08-11 09:53:00,1317.0,-694.0,623.0
2023-08-11 09:54:00,1273.0,-683.0,590.0
2023-08-11 09:55:00,1162.0,-563.0,599.0
2023-08-11 09:56:00,1138.0,-559.0,579.0
2023-08-11 09:57:00,1277.0,-641.0,636.0
2023-08-11 09:58:00,1096.0,-474.0,622.0
2023-08-11 09:59:00,1091.0,-484.0,607.0
2023-08-11 10:00:00,1019.0,-432.0,587.0
2023-08-11 10:01:00,835.0,-252.0,583.0
2023-08-11 10:02:00,935.0,-236.0,699.0
2023-08-11 10:03:00,928.0,-288.0,640.0
2023-08-11 10:04:00,1020.0,-345.0,675.0
2023-08-11 10:05:00,1114.0,-489.0,625.0
2023-08-11 10:06:00,1120.0,-458.0,662.0
2023-08-11 10:07:00,1517.0,-984.0,533.0
2023-08-11 10:08:00,1387.0,-826.0,561.0
2023-08-11 10:09:00,1329.0,-759.0,570.0
2023-08-11 10:10:00,1375.0,-751.0,624.0
2023-08-11 10:11:00,1411.0,-738.0,673.0
2023-08-11 10:12:00,1415.0,-758.0,657.0
2023-08-11 10:13:00,1440.0,-779.0,661.0
2023-08-11 10:14:00,1383.0,-726.0,657.0
2023-08-11 10:15:00,1427.0,-724.0,703.0
2023-08-11 10:16:00,1419.0,-722.0,697.0
2023-08-11 10:17:00,1396.0,-618.0,778.0
2023-08-11 10:18:00,1314.0,-544.0,770.0
2023-08-11 10:19:00,1254.0,-464.0,790.0
2023-08-11 10:20:00,1132.0,-297.0,835.0
2023-08-11 10:21:00,1165.0,-407.0,758.0
2023-08-11 10:22:00,1182.0,-392.0,790.0
2023-08-11 10:23:00,1176.0,-390.0,786.0
2023-08-11 10:24:00,1258.0,-496.0,762.0
2023-08-11 10:25:00,1211.0,-425.0,786.0
2023-08-11 10:26:00,1252.0,-488.0,764.0
2023-08-11 10:27:00,1229.0,-506.0,723.0
2023-08-11 10:28:00,1173.0,-435.0,738.0
2023-08-11 10:29:00,1119.0,-346.0,773.0
2023-08-11 10:30:00,1214.0,-377.0,837.0
2023-08-11 10:31:00,1113.0,-279.0,834.0
2023-08-11 10:32:00,1209.0,-361.0,848.0
2023-08-11 10:33:00,1218.0,-306.0,912.0
2023-08-11 10:34:00,1131.0,-253.0,878.0
2023-08-11 10:35:00,1180.0,-325.0,855.0
2023-08-11 10:36:00,1248.0,-447.0,801.0
2023-08-11 10:37:00,1290.0,-484.0,806.0
2023-08-11 10:38:00,1423.0,-549.0,874.0
2023-08-11 10:39:00,1390.0,-530.0,860.0
2023-08-11 10:40:00,1344.0,-496.0,848.0
2023-08-11 10:41:00,1273.0,-382.0,891.0
2023-08-11 10:42:00,1319.0,-447.0,872.0
2023-08-11 10:43:00,1431.0,-568.0,863.0
2023-08-11 10:44:00,1273.0,-385.0,888.0
2023-08-11 10:45:00,1283.0,-345.0,938.0
2023-08-11 10:46:00,1311.0,-373.0,938.0
2023-08-11 10:47:00,1218.0,-300.0,918.0
2023-08-11 10:48:00,1230.0,-256.0,974.0
2023-08-11 10:49:00,1194.0,-245.0,949.0
2023-08-11 10:50:00,1187.0,-188.0,999.0
2023-08-11 10:51:00,1178.0,-199.0,979.0
2023-08-11 10:52:00,1294.0,-270.0,1024.0
2023-08-11 10:53:00,1490.0,-502.0,988.0
2023-08-11 10:54:00,1429.0,-475.0,954.0
2023-08-11 10:55:00,1453.0,-430.0,1023.0
2023-08-11 10:56:00,1429.0,-485.0,944.0
2023-08-11 10:57:00,1445.0,-462.0,983.0
2023-08-11 10:58:00,1486.0,-469.0,1017.0
2023-08-11 10:59:00,1574.0,-609.0,965.0
2023-08-11 11:00:00,1643.0,-641.0,1002.0
2023-08-11 11:01:00,2045.0,-1285.0,760.0
2023-08-11 11:02:00,2090.0,-1296.0,794.0
2023-08-11 11:03:00,2145.0,-1356.0,789.0
2023-08-11 11:04:00,2087.0,-1219.0,868.0
2023-08-11 11:05:00,2081.0,-1162.0,919.0
2023-08-11 11:06:00,2047.0,-1049.0,998.0
2023-08-11 11:07:00,2044.0,-1027.0,1017.0
2023-08-11 11:08:00,2079.0,-995.0,1084.0
2023-08-11 11:09:00,2033.0,-834.0,1199.0
2023-08-11 11:10:00,2025.0,-902.0,1123.0
2023-08-11 11:11:00,2051.0,-864.0,1187.0
2023-08-11 11:12:00,1974.0,-647.0,1327.0
2023-08-11 11:13:00,1883.0,-593.0,1290.0
2023-08-11 11:14:00,1842.0,-536.0,1306.0
2023-08-11 11:15:00,1945.0,-733.0,1212.0
2023-08-11 11:16:00,1840.0,-750.0,1090.0
2023-08-11 11:17:00,1908.0,-788.0,1120.0
2023-08-11 11:18:00,1958.0,-792.0,1166.0
2023-08-11 11:19:00,1871.0,-670.0,1201.0
2023-08-11 11:20:00,1959.0,-824.0,1135.0
2023-08-11 11:21:00,1836.0,-568.0,1268.0
2023-08-11 11:22:00,1825.0,-588.0,1237.0
2023-08-11 11:23:00,1633.0,-362.0,1271.0
2023-08-11 11:24:00,1722.0,-469.0,1253.0
2023-08-11 11:25:00,1741.0,-447.0,1294.0
2023-08-11 11:26:00,1833.0,-584.0,1249.0
2023-08-11 11:27:00,1856.0,-605.0,1251.0
2023-08-11 11:28:00,1781.0,-533.0,1248.0
2023-08-11 11:29:00,1719.0,-440.0,1279.0
2023-08-11 11:30:00,1571.0,-435.0,1136.0
2023-08-11 11:31:00,1887.0,-695.0,1192.0
2023-08-11 11:32:00,1843.0,-684.0,1159.0
2023-08-11 11:33:00,1898.0,-805.0,1093.0
2023-08-11 11:34:00,1930.0,-856.0,1074.0
2023-08-11 11:35:00,1986.0,-942.0,1044.0
2023-08-11 11:36:00,2007.0,-1068.0,939.0
2023-08-11 11:37:00,2123.0,-1185.0,938.0
2023-08-11 11:38:00,2069.0,-1104.0,965.0
2023-08-11 11:39:00,2079.0,-1247.0,832.0
2023-08-11 11:40:00,2028.0,-957.0,1071.0
2023-08-11 11:41:00,2059.0,-1157.0,902.0
2023-08-11 11:42:00,2090.0,-1152.0,938.0
2023-08-11 11:43:00,2090.0,-1117.0,973.0
2023-08-11 11:44:00,1984.0,-1014.0,970.0
2023-08-11 11:45:00,2021.0,-971.0,1050.0
2023-08-11 11:46:00,1935.0,-656.0,1279.0
2023-08-11 11:47:00,1970.0,-698.0,1272.0
2023-08-11 11:48:00,2052.0,-722.0,1330.0
2023-08-11 11:49:00,2026.0,-686.0,1340.0
2023-08-11 11:50:00,2053.0,-653.0,1400.0
2023-08-11 11:51:00,2035.0,-606.0,1429.0
2023-08-11 11:52:00,2048.0,-583.0,1465.0
2023-08-11 11:53:00,2041.0,-598.0,1443.0
2023-08-11 11:54:00,2017.0,-541.0,1476.0
2023-08-11 11:55:00,2055.0,-543.0,1512.0
2023-08-11 11:56:00,2213.0,-910.0,1303.0
2023-08-11 11:57:00,2221.0,-810.0,1411.0
2023-08-11 11:58:00,2262.0,-971.0,1291.0
2023-08-11 11:59:00,2202.0,-647.0,1555.0
2023-08-11 12:00:00,2015.0,-683.0,1332.0
2023-08-11 12:01:00,1988.0,-619.0,1369.0
2023-08-11 12:02:00,2043.0,-788.0,1255.0
2023-08-11 12:03:00,2047.0,-795.0,1252.0
2023-08-11 12:04:00,2104.0,-1034.0,1070.0
2023-08-11 12:05:00,2258.0,-1231.0,1027.0
2023-08-11 12:06:00,2151.0,-1045.0,1106.0
2023-08-11 12:07:00,2078.0,-858.0,1220.0
2023-08-11 12:08:00,2079.0,-935.0,1144.0
2023-08-11 12:09:00,2023.0,-744.0,1279.0
2023-08-11 12:10:00,2086.0,-897.0,1189.0
2023-08-11 12:11:00,2084.0,-979.0,1105.0
2023-08-11 12:12:00,2350.0,-1054.0,1296.0
2023-08-11 12:13:00,2080.0,-801.0,1279.0
2023-08-11 12:14:00,2087.0,-884.0,1203.0
2023-08-11 12:15:00,2146.0,-891.0,1255.0
2023-08-11 12:16:00,2145.0,-952.0,1193.0
2023-08-11 12:17:00,2125.0,-861.0,1264.0
2023-08-11 12:18:00,2134.0,-984.0,1150.0
2023-08-11 12:19:00,2114.0,-1028.0,1086.0
2023-08-11 12:20:00,2211.0,-1134.0,1077.0
2023-08-11 12:21:00,2192.0,-980.0,1212.0
2023-08-11 12:22:00,2172.0,-905.0,1267.0
2023-08-11 12:23:00,2144.0,-938.0,1206.0
2023-08-11 12:24:00,2157.0,-885.0,1272.0
2023-08-11 12:25:00,2160.0,-924.0,1236.0
2023-08-11 12:26:00,2118.0,-849.0,1269.0
2023-08-11 12:27:00,2245.0,-973.0,1272.0
2023-08-11 12:28:00,2164.0,-1007.0,1157.0
2023-08-11 12:29:00,2291.0,-1107.0,1184.0
2023-08-11 12:30:00,2234.0,-1073.0,1161.0
2023-08-11 12:31:00,2254.0,-1120.0,1134.0
2023-08-11 12:32:00,2244.0,-1040.0,1204.0
2023-08-11 12:33:00,2202.0,-913.0,1289.0
2023-08-11 12:34:00,2278.0,-1049.0,1229.0
2023-08-11 12:35:00,2197.0,-884.0,1313.0
2023-08-11 12:36:00,2201.0,-931.0,1270.0
2023-08-11 12:37:00,2246.0,-916.0,1330.0
2023-08-11 12:38:00,2264.0,-972.0,1292.0
2023-08-11 12:39:00,2216.0,-871.0,1345.0
2023-08-11 12:40:00,2142.0,-813.0,1329.0
2023-08-11 12:41:00,2197.0,-910.0,1287.0
2023-08-11 12:42:00,2236.0,-916.0,1320.0
2023-08-11 12:43:00,2314.0,-1063.0,1251.0
2023-08-11 12:44:00,2265.0,-904.0,1361.0
2023-08-11 12:45:00,2222.0,-740.0,1482.0
2023-08-11 12:46:00,2124.0,-585.0,1539.0
2023-08-11 12:47:00,2083.0,-561.0,1522.0
2023-08-11 12:48:00,2132.0,-723.0,1409.0
2023-08-11 12:49:00,2180.0,-866.0,1314.0
2023-08-11 12:50:00,2207.0,-924.0,1283.0
2023-08-11 12:51:00,2238.0,-893.0,1345.0
2023-08-11 12:52:00,2284.0,-1032.0,1252.0
2023-08-11 12:53:00,2411.0,-1128.0,1283.0
2023-08-11 12:54:00,2506.0,-1445.0,1061.0
2023-08-11 12:55:00,2499.0,-1339.0,1160.0
2023-08-11 12:56:00,2470.0,-1255.0,1215.0
2023-08-11 12:57:00,2458.0,-1035.0,1423.0
2023-08-11 12:58:00,2469.0,-985.0,1484.0
2023-08-11 12:59:00,2524.0,-1089.0,1435.0
2023-08-11 13:00:00,2566.0,-1225.0,1341.0
2023-08-11 13:01:00,2492.0,-784.0,1708.0
2023-08-11 13:02:00,2383.0,-377.0,2006.0
2023-08-11 13:03:00,2029.0,665.0,2694.0
2023-08-11 13:04:00,1821.0,1086.0,2907.0
2023-08-11 13:05:00,1747.0,1031.0,2778.0
2023-08-11 13:06:00,1819.0,957.0,2776.0
2023-08-11 13:07:00,1491.0,1371.0,2862.0
2023-08-11 13:08:00,1655.0,1258.0,2913.0
2023-08-11 13:09:00,1763.0,1163.0,2926.0
2023-08-11 13:10:00,1967.0,1018.0,2985.0
2023-08-11 13:11:00,1841.0,1070.0,2911.0
2023-08-11 13:12:00,1950.0,1011.0,2961.0
2023-08-11 13:13:00,1805.0,1164.0,2969.0
2023-08-11 13:14:00,1789.0,1174.0,2963.0
2023-08-11 13:15:00,1724.0,1280.0,3004.0
2023-08-11 13:16:00,1771.0,1186.0,2957.0
2023-08-11 13:17:00,1773.0,1178.0,2951.0
2023-08-11 13:18:00,1746.0,1133.0,2879.0
2023-08-11 13:19:00,1953.0,946.0,2899.0
2023-08-11 13:20:00,1945.0,954.0,2899.0
2023-08-11 13:21:00,1892.0,1062.0,2954.0
2023-08-11 13:22:00,1844.0,1034.0,2878.0
2023-08-11 13:23:00,1759.0,1144.0,2903.0
2023-08-11 13:24:00,1870.0,998.0,2868.0
2023-08-11 13:25:00,1879.0,1019.0,2898.0
2023-08-11 13:26:00,2093.0,876.0,2969.0
2023-08-11 13:27:00,2039.0,851.0,2890.0
2023-08-11 13:28:00,2214.0,662.0,2876.0
2023-08-11 13:29:00,2076.0,888.0,2964.0
2023-08-11 13:30:00,2098.0,804.0,2902.0
2023-08-11 13:31:00,2105.0,756.0,2861.0
2023-08-11 13:32:00,2231.0,625.0,2856.0
2023-08-11 13:33:00,2209.0,680.0,2889.0
2023-08-11 13:34:00,2105.0,859.0,2964.0
2023-08-11 13:35:00,2078.0,929.0,3007.0
2023-08-11 13:36:00,2101.0,878.0,2979.0
2023-08-11 13:37:00,2075.0,1011.0,3086.0
2023-08-11 13:38:00,2104.0,892.0,2996.0
2023-08-11 13:39:00,2346.0,599.0,2945.0
2023-08-11 13:40:00,2375.0,315.0,2690.0
2023-08-11 13:41:00,2445.0,261.0,2706.0
2023-08-11 13:42:00,2364.0,400.0,2764.0
2023-08-11 13:43:00,2353.0,468.0,2821.0
2023-08-11 13:44:00,2351.0,495.0,2846.0
2023-08-11 13:45:00,2259.0,855.0,3114.0
2023-08-11 13:46:00,2248.0,1019.0,3267.0
2023-08-11 13:47:00,2260.0,1026.0,3286.0
2023-08-11 13:48:00,2186.0,1115.0,3301.0
2023-08-11 13:49:00,2181.0,998.0,3179.0
2023-08-11 13:50:00,2159.0,1089.0,3248.0
2023-08-11 13:51:00,2043.0,1117.0,3160.0
2023-08-11 13:52:00,2207.0,869.0,3076.0
2023-08-11 13:53:00,2206.0,841.0,3047.0
2023-08-11 13:54:00,2211.0,905.0,3116.0
2023-08-11 13:55:00,2199.0,955.0,3154.0
2023-08-11 13:56:00,2251.0,938.0,3189.0
2023-08-11 13:57:00,2151.0,1068.0,3219.0
2023-08-11 13:58:00,2010.0,1240.0,3250.0
2023-08-11 13:59:00,1993.0,1313.0,3306.0
2023-08-11 14:00:00,2091.0,1197.0,3288.0
2023-08-11 14:01:00,2090.0,1177.0,3267.0
2023-08-11 14:02:00,2162.0,1084.0,3246.0
2023-08-11 14:03:00,2203.0,1037.0,3240.0
2023-08-11 14:04:00,2161.0,1140.0,3301.0
2023-08-11 14:05:00,2081.0,1158.0,3239.0
2023-08-11 14:06:00,2276.0,939.0,3215.0
2023-08-11 14:07:00,2339.0,865.0,3204.0
2023-08-11 14:08:00,2327.0,947.0,3274.0
2023-08-11 14:09:00,2316.0,1047.0,3363.0
2023-08-11 14:10:00,2342.0,1027.0,3369.0
2023-08-11 14:11:00,2313.0,1071.0,3384.0
2023-08-11 14:12:00,2400.0,922.0,3322.0
2023-08-11 14:13:00,2424.0,925.0,3349.0
2023-08-11 14:14:00,2438.0,915.0,3353.0
2023-08-11 14:15:00,2447.0,960.0,3407.0
2023-08-11 14:16:00,2401.0,1012.0,3413.0
2023-08-11 14:17:00,2287.0,1235.0,3522.0
2023-08-11 14:18:00,2469.0,945.0,3414.0
2023-08-11 14:19:00,2443.0,1066.0,3509.0
2023-08-11 14:20:00,2466.0,907.0,3373.0
2023-08-11 14:21:00,2584.0,672.0,3256.0
