type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
PE,80700.0,-0.705569838418466,2025-05-06 09:30:00,2025-05-06,123.0,2025-05-06 10:15:00,161.0,Exit Max Delta Leg,-38.0
CE,80700.0,0.29128907161196904,2025-05-06 09:30:00,2025-05-06,116.1,2025-05-06 15:20:00,0.25,Final Expiry Exit,115.85
PE,80700.0,-0.705569838418466,2025-05-06 09:35:00,2025-05-06,79.7,2025-05-06 15:20:00,53.05,Final Expiry Exit,26.650000000000006
CE,80600.0,0.41428076680649695,2025-05-06 10:15:00,2025-05-06,75.8,2025-05-06 15:20:00,49.4,Final Expiry Exit,26.4
PE,81800.0,-0.7345891168659731,2025-05-13 09:30:00,2025-05-13,350.0,2025-05-13 12:55:00,719.0,Exit Max Delta Leg,-369.0
CE,81800.0,0.18369709594675843,2025-05-13 09:30:00,2025-05-13,319.65,2025-05-13 15:20:00,0.35,Final Expiry Exit,319.29999999999995
PE,81300.0,-0.5390748665976504,2025-05-13 09:40:00,2025-05-13,122.2,2025-05-13 15:20:00,160.35,Final Expiry Exit,-38.14999999999999
CE,81400.0,0.35537777065089193,2025-05-13 12:55:00,2025-05-13,137.7,2025-05-13 15:20:00,0.55,Final Expiry Exit,137.14999999999998
PE,82000.0,-0.7507560394894703,2025-05-20 09:30:00,2025-05-20,127.55,2025-05-20 12:55:00,511.25,Exit Max Delta Leg,-383.7
CE,82000.0,0.14317869857567517,2025-05-20 09:30:00,2025-05-20,187.45,2025-05-20 15:20:00,0.3,Final Expiry Exit,187.14999999999998
PE,81400.0,-0.3432196300855954,2025-05-20 09:30:00,2025-05-20,33.9,2025-05-20 15:20:00,207.95,Final Expiry Exit,-174.04999999999998
CE,81900.0,0.20004093150992025,2025-05-20 12:55:00,2025-05-20,39.15,2025-05-20 15:20:00,0.3,Final Expiry Exit,38.85
CE,81400.0,0.7729033634643245,2025-05-27 09:30:00,2025-05-27,388.8,2025-05-27 11:35:00,1014.85,Exit Max Delta Leg,-626.05
PE,81400.0,-0.20069332825083197,2025-05-27 09:30:00,2025-05-27,439.45,2025-05-27 15:20:00,0.5,Final Expiry Exit,438.95
PE,81300.0,-0.17119549592878452,2025-05-27 11:05:00,2025-05-27,195.45,2025-05-27 15:20:00,0.3,Final Expiry Exit,195.14999999999998
CE,82600.0,0.3718888241796165,2025-05-27 11:35:00,2025-05-27,274.1,2025-05-27 15:20:00,0.15,Final Expiry Exit,273.95000000000005
CE,81000.0,0.5439567647873642,2025-06-03 09:30:00,2025-06-03,527.65,2025-06-03 15:20:00,0.25,Final Expiry Exit,527.4
PE,81000.0,-0.4638102306851658,2025-06-03 09:30:00,2025-06-03,528.85,2025-06-03 15:20:00,260.45,Final Expiry Exit,268.40000000000003
PE,79700.0,-0.08014653410219841,2025-06-03 09:30:00,2025-06-03,34.45,2025-06-03 15:20:00,0.1,Final Expiry Exit,34.35
CE,82300.0,0.5536501250102613,2025-06-10 09:30:00,2025-06-10,234.25,2025-06-10 15:20:00,94.0,Final Expiry Exit,140.25
PE,82300.0,-0.4591779214875419,2025-06-10 09:30:00,2025-06-10,235.6,2025-06-10 15:20:00,0.3,Final Expiry Exit,235.29999999999998
PE,81400.0,-0.09447220352271946,2025-06-10 09:30:00,2025-06-10,29.3,2025-06-10 15:20:00,0.05,Final Expiry Exit,29.25
CE,81600.0,0.5409818242454788,2025-06-17 09:30:00,2025-06-17,171.15,2025-06-17 15:20:00,0.5,Final Expiry Exit,170.65
PE,81600.0,-0.47186436892906614,2025-06-17 09:30:00,2025-06-17,208.25,2025-06-17 15:20:00,21.15,Final Expiry Exit,187.1
PE,80500.0,-0.06911745531641267,2025-06-17 09:30:00,2025-06-17,21.45,2025-06-17 15:20:00,0.05,Final Expiry Exit,21.4
CE,82700.0,0.6349480168393024,2025-06-24 09:30:00,2025-06-24,187.45,2025-06-24 11:30:00,396.35,Exit for Delta Adjustment,-208.90000000000003
PE,82700.0,-0.7605133936335099,2025-06-24 09:30:00,2025-06-24,178.0,2025-06-24 13:35:00,551.25,Exit Max Delta Leg,-373.25
CE,83000.0,0.06552122778462213,2025-06-24 09:40:00,2025-06-24,59.5,2025-06-24 15:20:00,0.15,Final Expiry Exit,59.35
PE,82000.0,-0.31792915482885564,2025-06-24 11:30:00,2025-06-24,35.9,2025-06-24 15:20:00,0.45,Final Expiry Exit,35.449999999999996
CE,82500.0,0.25240792704423354,2025-06-24 13:35:00,2025-06-24,75.45,2025-06-24 15:20:00,0.3,Final Expiry Exit,75.15
CE,83900.0,0.4148560179958855,2025-07-01 09:30:00,2025-07-01,142.7,2025-07-01 15:20:00,0.1,Final Expiry Exit,142.6
PE,83900.0,-0.5837551564560046,2025-07-01 09:30:00,2025-07-01,249.6,2025-07-01 15:20:00,201.25,Final Expiry Exit,48.349999999999994
CE,84300.0,0.1688991384601191,2025-07-01 09:30:00,2025-07-01,48.15,2025-07-01 15:20:00,0.1,Final Expiry Exit,48.05
CE,83600.0,0.40407985532316776,2025-07-08 09:30:00,2025-07-08,102.15,2025-07-08 15:20:00,109.0,Final Expiry Exit,-6.849999999999994
PE,83600.0,-0.579658703141128,2025-07-08 09:30:00,2025-07-08,216.9,2025-07-08 15:20:00,0.8,Final Expiry Exit,216.1
CE,83900.0,0.17557884781796024,2025-07-08 09:30:00,2025-07-08,33.05,2025-07-08 15:20:00,0.45,Final Expiry Exit,32.599999999999994
CE,82500.0,0.4516261384616671,2025-07-15 09:30:00,2025-07-15,111.3,2025-07-15 15:20:00,57.75,Final Expiry Exit,53.55
PE,82500.0,-0.5531256386386009,2025-07-15 09:30:00,2025-07-15,140.4,2025-07-15 15:20:00,0.25,Final Expiry Exit,140.15
CE,83000.0,0.10149950017693377,2025-07-15 09:30:00,2025-07-15,17.6,2025-07-15 15:20:00,0.15,Final Expiry Exit,17.450000000000003
PE,82400.0,-0.7817974020772668,2025-07-22 09:30:00,2025-07-22,169.05,2025-07-22 11:20:00,300.7,Exit Max Delta Leg,-131.64999999999998
CE,82400.0,0.17391875135834706,2025-07-22 09:30:00,2025-07-22,100.55,2025-07-22 15:20:00,0.35,Final Expiry Exit,100.2
CE,83100.0,0.024061856904880323,2025-07-22 09:30:00,2025-07-22,8.35,2025-07-22 15:20:00,0.1,Final Expiry Exit,8.25
PE,81900.0,-0.1979806082632274,2025-07-22 11:20:00,2025-07-22,37.7,2025-07-22 15:20:00,0.15,Final Expiry Exit,37.550000000000004
PE,81000.0,-0.8196171774986434,2025-07-29 09:30:00,2025-07-29,162.1,2025-07-29 10:50:00,363.55,Exit Max Delta Leg,-201.45000000000002
CE,81000.0,0.9380917382021448,2025-07-29 09:30:00,2025-07-29,160.0,2025-07-29 14:25:00,313.6,Exit Max Delta Leg,-153.60000000000002
CE,81900.0,0.025421109362904967,2025-07-29 09:30:00,2025-07-29,14.9,2025-07-29 15:20:00,0.1,Final Expiry Exit,14.8
