Date,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_09,30_pnl_threshold_12407.00.csv","SENSEX_candle_5T_range_[50, 50]_delta_0,3_time_10,15_pnl_threshold_12410.00.csv","SENSEX_candle_5T_range_[70, 88]_delta_0,4_time_13,00_pnl_threshold_9625.00.csv","SENSEX_candle_5T_range_[50, 50]_delta_0,4_time_11,45_pnl_threshold_642.95.csv"
2023-08-11,3433.659,2808.54,2895.279,662.996
2023-08-18,-1263.771,-165.486,-4542.578,658.011
2023-08-25,583.236,2204.358,164.496,642.059
2023-09-01,2262.184,752.726,964.09,650.035
2023-09-08,128.604,1954.111,1390.806,695.897
2023-09-15,1530.386,2187.409,1934.171,661.002
2023-09-22,-521.551,25.9,-883.634,662.996
2023-09-29,542.359,-2143.402,-1437.29,638.071
2023-10-06,2760.684,2379.83,966.084,684.93
2023-10-13,-4.05,-536.596,179.451,-1967.877
2023-10-27,92.712,3011.928,1709.846,664.99
2023-11-03,2569.26,2527.386,904.27,684.93
2023-11-10,1094.697,-289.858,1673.954,605.17
2023-11-17,3763.666,1068.775,428.701,643.056
2023-11-24,620.125,1556.308,1245.244,-188.555
2023-12-01,1997.979,1410.746,2000.97,736.774
2023-12-08,3000.961,-21.1,-636.896,653.026
2023-12-15,-7426.203,-6090.207,-7318.882,646.047
2023-12-22,-2244.705,2301.067,3279.124,-669.995
2023-12-29,2904.252,3620.098,3284.109,868.378
2024-01-05,1899.276,1120.619,391.812,644.053
2024-01-12,-551.641,2694.882,2776.636,645.05
2024-01-19,4816.498,2928.18,2724.792,664.99
2024-01-25,7429.635,1299.082,760.702,745.747
2024-02-02,-3903.667,-7778.256,6417.68,708.858
2024-02-09,5902.231,3960.075,3327.977,835.477
2024-02-16,5760.657,3366.86,3476.53,700.882
2024-02-23,4856.378,3627.077,3827.474,647.044
2024-03-01,2733.765,3213.322,2722.798,638.071
2024-03-07,5419.683,2350.917,3067.76,651.032
2024-03-15,4295.067,2915.219,-1242.708,643.056
2024-03-22,3160.481,1281.136,-7154.39,742.756
2024-03-28,-2473.389,-10464.29,2040.85,676.954
2024-04-05,5627.059,3765.66,3612.122,746.744
2024-04-12,-194.573,-1035.087,906.264,693.903
2024-04-19,4181.409,1972.057,-381.131,1073.76
2024-04-26,876.354,2754.702,3234.259,773.663
2024-05-03,-4431.245,-2442.296,862.396,888.318
2024-05-10,2535.362,2909.237,2829.477,732.786
2024-05-17,5681.894,3705.84,2618.113,693.903
2024-05-24,6808.504,4102.646,5871.324,653.026
2024-06-07,874.36,3855.39,1338.962,750.732
2024-06-14,2915.219,2535.362,4599.152,643.056
2024-06-21,-6796.319,2110.64,2430.677,-4494.434
2024-06-28,2492.491,686.924,-3933.757,759.705
2024-07-05,-303.9,400.785,5656.969,655.02
2024-07-12,-5994.922,234.286,-114.333,702.876
2024-07-19,3197.37,2102.664,942.156,673.963
2024-07-26,-1375.104,1012.943,1430.686,-1097.273
2024-08-02,5697.846,2914.222,2873.345,697.891
2024-08-09,7224.253,3655.99,454.623,650.035
2024-08-16,-6237.648,-860.565,1585.221,730.792
2024-08-23,4150.502,2405.752,1945.138,677.951
2024-08-30,6601.128,3888.291,2111.637,723.813
2024-09-06,9091.634,2078.736,1046.841,718.828
2024-09-13,6492.455,2399.77,-5385.098,784.63
2024-09-20,-13559.548,-18345.864,4663.957,958.108
2024-09-27,2880.324,1336.968,2913.225,640.065
2024-10-04,-11278.726,-13871.481,1179.442,-2982.913
2024-10-11,5970.027,1500.476,3795.57,658.011
2024-10-18,-4030.045,1574.254,4063.763,671.969
2024-10-25,972.066,1515.431,2220.31,713.843
2024-10-31,2717.813,2330.977,1399.779,677.951
2024-11-08,8434.611,1593.197,1764.681,661.999
2024-11-14,5078.709,4452.593,1713.834,664.99
2024-11-22,-234.693,997.988,1964.081,800.582
2024-11-29,12366.779,5654.975,1403.767,669.975
2024-12-06,8468.509,4621.086,6386.773,862.396
2024-12-13,-11844.418,-12095.168,-1631.872,-4589.719
2024-12-20,-5887.601,2285.115,1524.404,995.994
2024-12-27,5794.555,1946.135,-189.558,641.062
2025-01-07,8664.918,4634.047,2850.414,642.059
2025-01-14,4767.645,-156.459,2433.668,642.059
2025-01-21,-15815.295,1668.969,-10707.016,-4428.236
2025-01-28,4727.765,-2576.698,6388.767,768.678
2025-02-04,10300.995,9802.495,1115.634,1495.491
2025-02-11,-2945.802,-2836.475,1976.045,722.816
2025-02-18,7444.59,4711.813,290.118,790.612
2025-02-25,4850.396,2874.342,-830.475,661.999
2025-03-04,5025.868,2948.12,-2692.043,672.966
2025-03-11,218.334,1602.17,3329.971,648.041
2025-03-18,257.217,2018.916,4636.041,730.792
2025-03-25,3653.996,3610.128,9593.125,663.993
2025-04-01,-6064.129,-1799.373,495.5,646.047
2025-04-08,-16668.848,2513.428,1828.489,832.486
2025-04-15,5157.472,1765.678,2431.674,786.624
2025-04-22,5926.159,1929.186,426.707,647.044
2025-04-29,2341.944,2619.11,6123.565,526.407
2025-05-06,1993.991,1658.999,1638.062,740.762
2025-05-13,2397.776,7488.458,7417.671,874.36
2025-05-20,-1191.555,-740.205,8393.734,725.807
2025-05-27,5753.678,-1499.476,-105.306,707.861
2025-06-03,11155.424,12369.77,727.801,672.966
2025-06-10,7952.063,3325.983,-6023.006,663.993
2025-06-17,4560.269,2300.07,2627.086,351.932
2025-06-24,-6982.877,-4634.854,-3836.466,723.813
2025-07-01,4408.725,2224.298,1449.629,653.026
2025-07-08,357.914,273.169,256.22,648.041
2025-07-15,2461.584,777.651,-23.1,642.059
2025-07-22,1602.17,1562.29,2800.564,709.855
2025-07-29,-3287.825,1910.243,359.908,695.897
2025-08-05,5190.373,3500.458,3071.748,658.011
2025-08-12,-3922.724,-840.505,1113.64,653.026
2025-08-19,4354.887,-189.558,,747.741
2025-08-26,2454.605,1595.191,,649.038
