Date,Daily PnL,File Path,File Name
2023-08-11,17.9,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-08-18,5.95,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-08-25,14.9,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-09-15,4.95,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-09-22,-16.1,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-09-29,-10.05,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-10-06,-13.05,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-10-13,-37.102,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-10-27,-65.186,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-11-03,-12.05,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-11-10,0.9500000000000002,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-11-17,97.697,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-11-24,7.9,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-12-01,15.9,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-12-08,106.67,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-12-15,6.95,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-12-22,118.634,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2023-12-29,13.9,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-01-05,40.868,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-01-12,32.892,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-01-19,-58.165,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-01-25,168.484,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-02-02,-1.0499999999999998,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-02-09,-55.156,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-02-16,-34.1,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-02-23,46.85,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-03-01,-28.1,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-03-07,17.9,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-03-15,-8.05,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-03-22,-181.534,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-03-28,-73.21,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-04-05,85.733,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-04-12,-62.177,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-04-19,42.862,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-04-26,345.95,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-05-03,-23.1,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-05-10,-83.24,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-05-17,28.9,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-05-24,-61.174,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-06-07,-249.738,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-06-14,-2.05,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-06-21,42.862,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-06-28,68.784,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
2024-07-05,-66.189,"SENSEX_candle_5T_range_[50, 50]_delta_0,35_time_10,15.csv",pnl_threshold_-6871.53.csv
