date,ce_entry_price,pe_entry_price,combined_entry_price,total_returns
2023-08-18,27.75,45.9,73.65,-94.1
2023-08-25,52.3,38.8,91.1,110.1
2023-09-15,55.2,45.6,100.80000000000001,97.15
2023-09-22,31.9,27.65,59.55,-9.549999999999988
2023-09-29,45.35,39.9,85.25,126.05
2023-10-06,37.65,31.9,69.55,73.0
2023-10-13,32.4,37.0,69.4,-70.59999999999998
2023-10-27,36.4,39.55,75.94999999999999,98.0
2023-11-03,39.95,38.55,78.5,-62.90000000000001
2023-11-10,33.7,32.05,65.75,84.1
2023-11-17,26.65,36.75,63.4,118.05000000000001
2023-11-24,14.3,13.2,27.5,27.2
2023-12-01,28.3,30.2,58.5,58.15
2023-12-08,28.7,20.9,49.599999999999994,-39.399999999999984
2023-12-15,52.7,30.05,82.75,-273.55
2023-12-22,39.65,37.65,77.3,148.2
2023-12-29,40.25,59.1,99.35,54.050000000000004
2024-01-05,20.8,23.6,44.400000000000006,34.55
2024-01-12,33.75,40.9,74.65,134.35
2024-01-19,35.15,39.85,75.0,144.8
2024-01-25,68.7,44.1,112.80000000000001,71.90000000000002
2024-02-02,97.0,113.8,210.8,209.7
2024-02-09,37.0,55.65,92.65,92.3
2024-02-16,53.6,42.35,95.95,95.5
2024-02-23,51.0,38.5,89.5,75.85
2024-03-01,70.1,79.85,149.95,148.2
2024-03-07,25.85,41.75,67.6,67.15
2024-03-15,53.15,45.0,98.15,53.0
2024-03-22,46.1,37.25,83.35,-38.900000000000006
2024-03-28,63.85,57.4,121.25,-409.25
2024-04-05,35.85,45.8,81.65,81.2
2024-04-12,69.7,95.95,165.65,164.5
2024-04-19,77.25,111.0,188.25,291.65
2024-04-26,46.5,72.9,119.4,44.4
2024-05-03,85.9,97.45,183.35000000000002,178.70000000000002
2024-05-10,50.25,58.9,109.15,92.35
2024-05-17,43.6,66.4,110.0,109.65
2024-05-24,43.95,70.0,113.95,112.75
2024-06-07,136.6,113.8,250.39999999999998,250.0
2024-06-14,34.85,34.55,69.4,87.0
2024-06-21,74.75,114.9,189.65,262.7
2024-06-28,58.15,80.25,138.4,-237.3500000000001
2024-07-05,36.25,47.35,83.6,-269.3
2024-07-12,87.6,87.2,174.8,174.25
2024-07-19,44.0,49.8,93.8,61.949999999999996
2024-07-26,69.65,69.15,138.8,124.00000000000001
2024-08-02,42.8,49.25,92.05,119.4
2024-08-09,40.1,34.55,74.65,74.25
2024-08-16,70.65,88.45,159.10000000000002,76.70000000000002
2024-08-23,28.95,21.9,50.849999999999994,50.5
2024-08-30,42.45,55.8,98.25,97.7
2024-09-06,78.55,48.95,127.5,126.9
2024-09-13,34.55,41.9,76.44999999999999,94.15
2024-09-20,75.6,94.4,170.0,-270.3000000000001
2024-09-27,40.95,61.95,102.9,102.55
2024-10-18,53.1,56.2,109.30000000000001,108.85000000000001
2024-10-25,65.1,59.75,124.85,-15.600000000000023
2024-10-31,38.35,33.8,72.15,45.699999999999996
2024-11-08,20.9,16.25,37.15,70.25
2024-11-14,18.25,30.2,48.45,47.85
2024-11-22,133.3,181.7,315.0,105.7
2024-11-29,49.4,49.6,99.0,98.65
2024-12-06,50.9,37.8,88.69999999999999,161.85
2024-12-13,116.1,186.0,302.1,280.5
2024-12-20,74.3,105.75,180.05,-62.2
2025-01-07,28.45,35.45,63.900000000000006,1.6000000000000014
2025-01-14,26.05,31.6,57.650000000000006,34.050000000000004
2025-01-21,184.45,174.6,359.04999999999995,265.45
2025-01-28,51.85,36.1,87.95,-169.05
2025-02-04,132.05,161.75,293.8,245.8
2025-02-11,84.65,60.0,144.65,-211.85
2025-02-18,85.95,72.0,157.95,197.0
2025-02-25,20.8,23.65,44.45,41.05
2025-03-04,16.95,26.75,43.7,87.15
2025-03-11,39.1,25.55,64.65,-41.25000000000001
2025-03-18,40.7,34.75,75.45,17.85
2025-03-25,49.85,39.2,89.05000000000001,88.45
2025-04-01,69.9,60.8,130.7,130.3
2025-04-08,148.85,165.55,314.4,478.3
2025-04-15,29.45,20.5,49.95,55.900000000000006
