type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
CE,77400.0,0.2801893763057779,2025-02-03 13:00:00,2025-02-04,111.45,2025-02-03 15:20:00,174.8,Final Expiry Exit,-63.35000000000001
PE,76700.0,-0.30970737609875865,2025-02-03 13:00:00,2025-02-04,130.4,2025-02-03 15:20:00,120.4,Final Expiry Exit,10.0
CE,78500.0,0.6284902003957356,2025-02-04 13:00:00,2025-02-04,132.05,2025-02-04 15:20:00,79.95,Final Expiry Exit,52.10000000000001
PE,77700.0,-0.02188173124391401,2025-02-04 13:00:00,2025-02-04,161.75,2025-02-04 15:20:00,0.3,Final Expiry Exit,161.45
PE,78600.0,-0.6066084691518215,2025-02-04 15:00:00,2025-02-04,55.3,2025-02-04 15:20:00,23.05,Final Expiry Exit,32.25
CE,79200.0,0.30404057189615374,2025-02-05 13:00:00,2025-02-11,280.1,2025-02-05 15:20:00,258.15,Final Expiry Exit,21.950000000000045
PE,77700.0,-0.2992516284692132,2025-02-05 13:00:00,2025-02-11,272.6,2025-02-05 15:20:00,288.05,Final Expiry Exit,-15.449999999999989
CE,78700.0,0.30761894336785456,2025-02-06 13:00:00,2025-02-11,277.4,2025-02-06 15:20:00,317.45,Final Expiry Exit,-40.05000000000001
PE,77300.0,-0.3077601859679512,2025-02-06 13:00:00,2025-02-11,270.4,2025-02-06 15:20:00,223.8,Final Expiry Exit,46.599999999999966
CE,78500.0,0.29583556658615573,2025-02-07 13:00:00,2025-02-11,211.25,2025-02-07 15:20:00,190.65,Final Expiry Exit,20.599999999999994
PE,77400.0,-0.30598235644655236,2025-02-07 13:00:00,2025-02-11,188.0,2025-02-07 15:20:00,172.8,Final Expiry Exit,15.199999999999989
CE,77700.0,0.2844817269388463,2025-02-10 13:00:00,2025-02-11,150.85,2025-02-10 15:20:00,204.65,Final Expiry Exit,-53.80000000000001
PE,76800.0,-0.28893007327656517,2025-02-10 13:00:00,2025-02-11,134.1,2025-02-10 15:20:00,107.25,Final Expiry Exit,26.849999999999994
PE,76500.0,-0.7368781358942974,2025-02-11 13:00:00,2025-02-11,60.0,2025-02-11 13:15:00,383.7,Exit Max Delta Leg,-323.7
CE,76800.0,0.11916332575198746,2025-02-11 13:00:00,2025-02-11,84.65,2025-02-11 15:20:00,0.2,Final Expiry Exit,84.45
PE,75600.0,-0.11916332575198746,2025-02-11 13:15:00,2025-02-11,27.5,2025-02-11 15:20:00,0.1,Final Expiry Exit,27.4
CE,77200.0,0.2923412051602373,2025-02-12 13:00:00,2025-02-18,279.0,2025-02-12 15:20:00,215.55,Final Expiry Exit,63.44999999999999
PE,75600.0,-0.30488129245652595,2025-02-12 13:00:00,2025-02-18,291.95,2025-02-12 15:20:00,287.65,Final Expiry Exit,4.300000000000011
CE,77400.0,0.1702253814134997,2025-02-13 13:00:00,2025-02-18,215.7,2025-02-13 15:20:00,122.5,Final Expiry Exit,93.19999999999999
PE,76100.0,-0.4822411135491251,2025-02-13 13:00:00,2025-02-18,241.1,2025-02-13 15:20:00,404.6,Final Expiry Exit,-163.50000000000003
CE,76800.0,0.3120157321356254,2025-02-13 14:40:00,2025-02-18,261.75,2025-02-13 15:20:00,279.1,Final Expiry Exit,-17.350000000000023
CE,76200.0,0.3007535822648533,2025-02-14 13:00:00,2025-02-18,219.95,2025-02-14 15:20:00,337.2,Final Expiry Exit,-117.25
PE,75000.0,-0.295119525045477,2025-02-14 13:00:00,2025-02-18,206.2,2025-02-14 15:20:00,109.45,Final Expiry Exit,96.74999999999999
CE,76300.0,0.2938002125961746,2025-02-17 13:00:00,2025-02-18,178.65,2025-02-17 15:20:00,230.95,Final Expiry Exit,-52.29999999999998
PE,75300.0,-0.3003152933146944,2025-02-17 13:00:00,2025-02-18,172.8,2025-02-17 15:20:00,117.0,Final Expiry Exit,55.80000000000001
CE,75900.0,0.5923925948016444,2025-02-18 13:00:00,2025-02-18,85.95,2025-02-18 15:20:00,90.4,Final Expiry Exit,-4.450000000000003
PE,75500.0,-0.11179582070736205,2025-02-18 13:00:00,2025-02-18,72.0,2025-02-18 15:20:00,0.15,Final Expiry Exit,71.85
PE,76000.0,-0.48059677409428236,2025-02-18 13:45:00,2025-02-18,142.35,2025-02-18 15:20:00,12.75,Final Expiry Exit,129.6
CE,76900.0,0.2952814643502292,2025-02-19 13:00:00,2025-02-25,268.7,2025-02-19 15:20:00,217.75,Final Expiry Exit,50.94999999999999
PE,75400.0,-0.308262093446696,2025-02-19 13:00:00,2025-02-25,284.15,2025-02-19 15:20:00,298.5,Final Expiry Exit,-14.350000000000023
CE,76400.0,0.3127108026506962,2025-02-20 13:00:00,2025-02-25,246.85,2025-02-20 15:20:00,238.05,Final Expiry Exit,8.799999999999983
PE,75200.0,-0.30216842634307006,2025-02-20 13:00:00,2025-02-25,222.15,2025-02-20 15:20:00,213.5,Final Expiry Exit,8.650000000000006
