index,Date,Entry Time,Type,Strike,Option,Entry Premium,Quantity,Exit Premium,Exit Time,Index,Hedge Date,Hedge Entry Time,Hedge Type,Hedge Strike,Hedge Option,Hedge Entry Premium,Hedge Quantity,Hedge Exit Premium,Hedge Exit Time,ExpiryDate,DaysToExpiry,Day
247,26-08-2022,26-08-2022 09:25,Sell,17650,CE,153.95,-10,40,29-08-2022 09:15,17650,26-08-2022,26-08-2022 09:25,Buy,18000,CE,27.15,10,8,29-08-2022 09:15,01-09-2022,4,Friday
248,26-08-2022,26-08-2022 09:25,Sell,17650,PE,117,-10,63.95,30-08-2022 14:33,17650,26-08-2022,26-08-2022 09:25,Buy,17200,PE,21.95,10,8.7,30-08-2022 14:33,01-09-2022,4,Friday
249,26-08-2022,26-08-2022 10:45,Sell,17600,CE,149.15,-10,51,29-08-2022 09:15,17599.35,26-08-2022,26-08-2022 10:45,Buy,17950,CE,27.6,10,6.2,29-08-2022 09:15,01-09-2022,4,Friday
250,26-08-2022,26-08-2022 15:05,Sell,17550,CE,142.4,-10,24.25,29-08-2022 09:16,17527.75,26-08-2022,26-08-2022 15:05,Buy,17900,CE,26.35,10,5,29-08-2022 09:16,01-09-2022,4,Friday
251,29-08-2022,29-08-2022 09:25,Sell,17250,CE,120.3,-60,293.7,01-09-2022 15:25,17218.05,29-08-2022,29-08-2022 09:25,Buy,17550,CE,26.65,60,241,01-09-2022 15:25,01-09-2022,3,Monday
252,29-08-2022,29-08-2022 09:55,Sell,17300,PE,125.85,-10,41,30-08-2022 09:16,17303.6,29-08-2022,29-08-2022 09:55,Buy,16900,PE,24.85,10,4.9,30-08-2022 09:16,01-09-2022,3,Monday
253,29-08-2022,29-08-2022 12:35,Sell,17350,PE,110.9,-10,55.8,30-08-2022 09:16,17365.45,29-08-2022,29-08-2022 12:35,Buy,16950,PE,20.75,10,6.2,30-08-2022 09:16,01-09-2022,3,Monday
254,29-08-2022,29-08-2022 15:15,Sell,17300,CE,116.05,-10,244.35,01-09-2022 15:25,17294.4,29-08-2022,29-08-2022 15:15,Buy,17600,CE,20.1,10,195.65,01-09-2022 15:25,01-09-2022,3,Monday
255,30-08-2022,30-08-2022 09:25,Sell,17450,PE,83.4,-30,45.85,30-08-2022 12:24,17464.3,30-08-2022,30-08-2022 09:25,Buy,17150,PE,15.25,30,11,30-08-2022 12:24,01-09-2022,2,Tuesday
256,30-08-2022,30-08-2022 10:45,Sell,17500,PE,81.85,-10,44.9,30-08-2022 13:43,17518.9,30-08-2022,30-08-2022 10:45,Buy,17200,PE,16.25,10,12.55,30-08-2022 13:43,01-09-2022,2,Tuesday
257,30-08-2022,30-08-2022 11:35,Sell,17550,PE,91.55,-10,50.15,30-08-2022 14:16,17552.95,30-08-2022,30-08-2022 11:35,Buy,17250,PE,18.25,10,12.3,30-08-2022 14:16,01-09-2022,2,Tuesday
258,30-08-2022,30-08-2022 12:45,Sell,17600,PE,93.35,-10,51.05,30-08-2022 14:28,17600.2,30-08-2022,30-08-2022 12:45,Buy,17250,PE,16.9,10,10.3,30-08-2022 14:28,01-09-2022,2,Tuesday
259,30-08-2022,30-08-2022 13:35,Sell,17650,PE,96.5,-10,52.6,30-08-2022 15:01,17653.6,30-08-2022,30-08-2022 13:35,Buy,17300,PE,19.6,10,11.15,30-08-2022 15:01,01-09-2022,2,Tuesday
260,30-08-2022,30-08-2022 14:55,Sell,17700,PE,74.6,-10,156,01-09-2022 15:25,17710.5,30-08-2022,30-08-2022 14:55,Buy,17400,PE,15.35,10,12,01-09-2022 15:25,01-09-2022,2,Tuesday
261,30-08-2022,30-08-2022 15:05,Sell,17750,PE,75.7,-10,206,01-09-2022 15:25,17759.5,30-08-2022,30-08-2022 15:05,Buy,17400,PE,15.5,10,12,01-09-2022 15:25,01-09-2022,2,Tuesday
262,01-09-2022,01-09-2022 09:25,Sell,17600,CE,47.95,-30,26.25,01-09-2022 13:09,17553.45,01-09-2022,01-09-2022 09:25,Buy,17750,CE,9.7,30,3.5,01-09-2022 13:09,01-09-2022,0,Thursday
263,01-09-2022,01-09-2022 10:15,Sell,17650,PE,51.7,-10,106.15,01-09-2022 15:25,17662.4,01-09-2022,01-09-2022 10:15,Buy,17450,PE,8.7,10,0.1,01-09-2022 15:25,01-09-2022,0,Thursday
264,01-09-2022,01-09-2022 11:55,Sell,17600,CE,46.65,-10,25.25,01-09-2022 13:10,17589.8,01-09-2022,01-09-2022 11:55,Buy,17750,CE,7.65,10,3.15,01-09-2022 13:10,01-09-2022,0,Thursday
265,01-09-2022,01-09-2022 13:55,Sell,17550,CE,18.25,-10,7.35,01-09-2022 15:02,17511.4,01-09-2022,01-09-2022 13:55,Buy,17650,CE,4.1,10,0.4,01-09-2022 15:02,01-09-2022,0,Thursday
266,01-09-2022,01-09-2022 14:05,Sell,17500,CE,30.05,-10,44.15,01-09-2022 15:25,17486.85,01-09-2022,01-09-2022 14:05,Buy,17600,CE,6.35,10,0.1,01-09-2022 15:25,01-09-2022,0,Thursday
267,01-09-2022,01-09-2022 14:35,Sell,17550,PE,21.7,-10,7.75,01-09-2022 15:11,17559.3,01-09-2022,01-09-2022 14:35,Buy,17450,PE,3.75,10,0.2,01-09-2022 15:11,01-09-2022,0,Thursday
